idcvlac,autores,nombre,tipo,verificado,lugar,fecha,editorial,isbn,volumen,paginas,palabras,areas,sectores
0000592862,"JUAN MIGUEL VILLA LATORRE, JUAN MIGUE VILLA, JOSE FERNANDO GRASS, SANDRA GODOY",Métodos y tiempos,Otro libro publicado,False,Colombia,2002,No Aplica,,,1,No Aplica,No Aplica,No Aplica
0000592862,JUAN MIGUEL VILLA LATORRE,Seguridad Industrial,Otro libro publicado,False,Colombia,2002,Unad,958-651-092-1,,1,No Aplica,No Aplica,No Aplica
0000592862,JUAN MIGUEL VILLA LATORRE,Evaluacion Y Control De Ruido Industrial,Libro resultado de investigación,False,Colombia,2006,Editorial De La Universidad Del Cauca,958-33-8273-6,,,No Aplica,No Aplica,No Aplica
0000592862,JUAN MIGUEL VILLA LATORRE,Introduccion A Los Sistemas De Ventilacion Y Control De Ambientes Termicos,Libro resultado de investigación,False,Colombia,2007,Taller Editorial Universidad Del Cauca,958-33-9524-2,,,No Aplica,No Aplica,No Aplica
0000592862,JUAN MIGUEL VILLA LATORRE,Introduccion Al Diseno De Sistemas De Iluminacion Y Control De Radiaciones,Libro resultado de investigación,False,Colombia,2008,Ediorial Universidad Del Cauca,978-958-44-0214-1,,,No Aplica,No Aplica,No Aplica
0000592862,JUAN MIGUEL VILLA LATORRE,INTRODUCCIÓN AL DISEÑO DE SISTEMAS DE AIRE ACONDICIONADO Y CONTROL DE TEMPERATURAS,Libro resultado de investigación,False,Colombia,2009,Editorial De La Universidad Del Cauca,978-958-44-4247-6,,,No Aplica,No Aplica,No Aplica
0000592862,"JUAN MIGUEL VILLA LATORRE, JOSE FERNANDO GRASS RAMIREZ",Aprovechamiento Agroindustrial De La Sangre Proveniente De Las Plantas De Beneficio Animal,Libro resultado de investigación,False,Colombia,2002,Universidad del Cauca,958-9475-37-X,200,180,SUBPRODUCTO MATADERO;SANGRE;APROVECHAMIENTO,Ingeniería y Tecnología;Ingeniería Química;Ingeniería de Procesos,"Agricultura, pecuaria, silvicultura, explotación forestal"
0000341339,LUIS ALFREDO LONDONO VELEZ,Los Kokonukos enseñan a truequiar - Trueque y semillas,Libro pedagógico y/o de divulgación,False,Colombia,2011,Programa Conjunto Integración de Ecosistemas y Adaptación al Cambio Climático en el Macizo Colombiano,,,,No Aplica,No Aplica,No Aplica
0000245968,ROMAN OSPINA MONTEALEGRE,Normas para la Certificación Forestal Voluntaria de Plantaciojnes Forestales y Bosques Naturales en Colombia bajo el Esquema FSC,Otro libro publicado,False,Colombia,2003,El Bando Creativo,958-95905-6,1,113,No Aplica,No Aplica,No Aplica
0000348422,"VICTOR FELIPE TERAN GOMEZ, IVAN PAZ, FRANCY VIVIANA NARVAEZ CERON",Manejo Tecnico Para La Produccion De Aguacate Variedad Hass En La Meseta De Popayan,Libro resultado de investigación,False,Colombia,2010,Universidad del Cauca,978-958-732-086-2,,,No Aplica,No Aplica,No Aplica
0001588062,"YADY ELIANA HERNANDEZ SILVA, LUIS ALFREDO LONDONO VELEZ, NARCISO BARRERA BASSOLS","METODOLOGÍA PARA LA EVALUACIÓN DE LA SOBERANÍA ALIMENTARIA DE LAS FAMILIAS CAFICULTURAS DEL DEPARTAMENTO DEL CAUCA, COLOMBIA",Otro libro publicado,False,España,2013,Universidad Internacional de Andalucía,978-84-7993-602-0,,,Agroecología;Caficultura;Cauca (Colombia);Seguridad alimentaria;Soberanía alimentaria,Ciencias Sociales;Otras Ciencias Sociales;Otras Ciencias Sociales,No Aplica
0000076988,"EDIER HUMBERTO PEREZ, CLAUDIA XIMENA MARTINEZ VALENCIA, ISABEL BRAVO REALPE",Química de la materia orgánica de andisoles altoandinos en Colombia,Libro resultado de investigación,True,Colombia,2016,Editorial Unicauca,978-958-732-206-4,,,No Aplica,No Aplica,No Aplica
0000076988,EDIER HUMBERTO PEREZ,Química Ambiental de suelos Ándicos,Libro resultado de investigación,False,Colombia,2022,Editorial Universidad Del Cauca,978-958-732-508-9,,,No Aplica,Ciencias Naturales;Ciencias Químicas;Química Orgánica,No Aplica
0001437235,CLAUDIA XIMENA MARTINEZ VALENCIA,Química de la materia orgánica de andisoles altoandinos en Colombia Principios básicos y resultados de investigación,Libro resultado de investigación,False,Colombia,2016,Universidad del Cauca,978-958-732-206-4,,,No Aplica,No Aplica,No Aplica
0000163538,BIBIANA STELLA DUARTE RESTREPO,LIBRO EL DERECHO A LA ALIMENTACIÓN Y LA SEGURIDAD ALIMENTARIA DESDE LA PERSPECTIVA DE LOS DDHH,Libro resultado de investigación,False,Colombia,2004,Msd/Usaid,958-97553-2-1,,,No Aplica,No Aplica,No Aplica
0000163538,BIBIANA STELLA DUARTE RESTREPO,LIBRO EL DERECHO A LA ALIMENTACIÓN Y LA SEGURIDAD ALIMENTARIA DESDE LA PERSPECTIVA DE LOS DDHH,Libro resultado de investigación,True,Colombia,2004,Msd/Usaid,958-97553-2-1,,,derechos humanos;seguridad alimentaria;sociedad civil ;exigibilidad,Ciencias Sociales;Derecho;Derecho ,No Aplica
0001381457,CAMILO ANDRES ARBOLEDA PARDO,Xvii Congreso Colombiano De La Ciencia Del Suelo: Memorias,Libro resultado de investigación,False,Colombia,2014,Sociedad Colombiana De Ciencia Del Suelo,978-95-88598-10-9,,,No Aplica,No Aplica,No Aplica
0000170534,EFREN GIRALDO RINCON,Agroquímica: Estudio de los nutrientes esenciales en la producción agrícola. En Proceso,Otro libro publicado,False,Colombia,2002,No Aplica,,1,330,Agroquímica,Ciencias Naturales;Otras Ciencias Naturales;Otras Ciencias Naturales,"Agricultura, pecuaria, silvicultura, explotación forestal"
0001294210,"FERNANDO ANDRES MUNOZ GOMEZ, APOLINAR FIGUEROA CASAS, JUAN DIEGO OTERO SARMIENTO, JUAN PABLO MARTINEZ IDROBO, SAMIR CARLOS JOAQUI DAZA, MONICA PATRICIA VALENCIA ROJAS, DIANA MARCELA RUIZ ORDONEZ, ADOLFO PLAZAS TENORIO, NILSA LORENA ALVEAR NARVAEZ, MARIA CRISTINA ORDONEZ DIAZ, LUZ STELLA PEMBERTHY GALLO","Plan Departamental de Ciencia Tecnología e Innovación del Cauca - Plan ConCiencia Cauca""",Libro resultado de investigación,False,Colombia,2013,Gobernacion Del Cauca,978-958-57044-8-0 v,,,No Aplica,Ingeniería y Tecnología;Otras Ingenierías y Tecnologías;Otras Ingenierías y Tecnologías,No Aplica
0001294210,"FERNANDO ANDRES MUNOZ GOMEZ, ADOLFO PLAZAS TENORIO, JUAN PABLO MARTINEZ IDROBO, LUZ STELLA PEMBERTHY GALLO, JUAN DIEGO OTERO SARMIENTO, SAMIR CARLOS JOAQUI DAZA, MONICA PATRICIA VALENCIA ROJAS","PLAN ESTRATÉGICO DEPARTAMENTAL DE CIENCIA, TECNOLOGÍA E INNOVACIÓN PARA EL CAUCA",Libro resultado de investigación,True,Colombia,2013,Editorial Universidad Del Cauca,978-958-570448-0,,,No Aplica,No Aplica,No Aplica
0000170585,ISABEL DEL SOCORRO BRAVO REALPE,Xvii Congreso Colombiano De La Ciencia Del Suelo: Memorias,Libro resultado de investigación,False,Colombia,2014,Sociedad Colombiana De Ciencia Del Suelo,978-95-88598-10-9,,,No Aplica,No Aplica,No Aplica
0000168084,"RODRIGO ANDRES SARRIA VILLA, GALLO CORREDOR JOSE ANTONIO, BENITEZ RICARDO","Phenolic compounds from Pinus bark: Extraction, Isolation and biological activity",Libro resultado de investigación,True,Alemania,2018,Scholars' Press,978-620-2-31565-4,,,Pinus bark;Anti-inflammatory activity;Phenolic compounds,Ciencias Naturales;Ciencias Químicas;Química Analítica,No Aplica
0000771546,"SANDRA FAISULER POTOSI RODRIGUEZ, ALEJANDRA MARIA RODRIGUEZ GUARIN, MABEL CRISTINA CALVACHE MUNOZ",Preparaciones Culinarias Autóctonas del departamento de Cauca_ QUINUA Volumen 1,Otro libro publicado,False,Colombia,2017,Corporación Universitaria Comfacauca Unicomfacauca Editorial,978-958-99756-7-1,,,Gastronomía;arte;tradición;cultura,Humanidades;Arte;Otras artes,No Aplica
0000642452,SORY ALEXANDER MORALES FERNANDEZ,(De)Construcción De Espacios Y Posibilidades,Libro resultado de investigación,True,Colombia,2011,Colegio Mayor del Cauca,978-958-98439-2-5,1,132,ESPACIOS;TERRITORIO;ESCENARIOS EDUCATIVOS;AMBIENTALMENTE SANOS,Humanidades;Arte;Arquitectura y Urbanismo,Educación
0000642452,SORY ALEXANDER MORALES FERNANDEZ,Sociedades en Movimiento. Territorios ocultos en la historia de la ciudad,Libro resultado de investigación,True,Colombia,2020,Fallidos Editores,978-958-48-9755-8,,,No Aplica,"Ciencias Sociales;Otras Ciencias Sociales;Ciencias Sociales, Interdisciplinaria, Humanidades;Arte;Arquitectura y Urbanismo, Humanidades;Historia y Arqueología;Historia de Colombia",No Aplica
0001638267,ANDRES ALEJANDRO CORDOBA CALVO,"Camuflados, asesinados por el Ejército Nacional",Libro resultado de investigación,True,Colombia,2016,Editorial Universidad Del Cauca,978-958-732-218-7,,,No Aplica,Ciencias Sociales;Periodismo y Comunicaciones;Medios y Comunicación Social,No Aplica
0001638267,"JULIAN ANDRES GRIJALBA OBANDO, ANDRES ALEJANDRO CORDOBA CALVO",CIUDAD SÓNICA: EL CASO PARADIGMÁTICO DE POPAYÁN (COLOMBIA),Libro resultado de investigación,True,Colombia,2020,Universidad del Cauca,9789587324242,,,No Aplica,No Aplica,No Aplica
0001045482,"ANGELA MARIA GUZMAN DONSEL, JOSE ALFONSO ESPADA VILLAQUIRAN, LYDA EUCARIS CAMPO VIDAL","Diseño, Artesanía E Identidad. Experiencias Académicas Locales De Diseño Artesanal En Colombia Y El Salvador",Libro resultado de investigación,False,Colombia,2010,Axis Mundi,978-958-98334-7-6,1,131,Diseño;Artesanía;Identidad;diseño de producto;Cultura,"Humanidades;Arte;Artes plásticas y visuales, Ciencias Sociales;Ciencias de la Educación;Educación General (Incluye Capacitación, Pedagogía)",Educación
0000692662,CLARA INES URIBE GIRALDO,Primer Encuentro Nacional Y 7° Encuentro De Investigaciones. La Investigación Como Articulador Entre La Ciencia Y La Paz. 30años De Compromiso Con Colombia.,Libro resultado de investigación,False,Colombia,2006,Universidad Nacinal De Colombia Sede Medellin,57-15481-89-9,0,25,No Aplica,No Aplica,No Aplica
0000553069,FELIPE ANDRES GARCIA QUINTERO,Cómo tiene que ser visto lo que debe ser recordado,Libro resultado de investigación,True,Colombia,2018,Gamar Editores,978-958-9022-07-8,,,No Aplica,No Aplica,No Aplica
0000553069,FELIPE ANDRES GARCIA QUINTERO,La ciudad colonial y sus textualidades contemporáneas,Libro resultado de investigación,True,Colombia,2017,Editorial Universidad Del Cauca,978-958-732-304-7,,,No Aplica,"Ciencias Sociales;Otras Ciencias Sociales;Ciencias Sociales, Interdisciplinaria",No Aplica
0000553069,FELIPE ANDRES GARCIA QUINTERO,Las presas por su sombra,Otro libro publicado,False,Chile,2018,RIL editores,978-956-01-0551-6,,,No Aplica,No Aplica,No Aplica
0000553069,FELIPE ANDRES GARCIA QUINTERO,Cavado (hasta el silencio),Otro libro publicado,False,España,2016,No Aplica,978-84-16682-19-5,,,No Aplica,No Aplica,No Aplica
0000553069,FELIPE ANDRES GARCIA QUINTERO,Diario sucio: un viaje por México,Otro libro publicado,False,Colombia,2018,Sílaba Editores,978-958-56641-1-1,,,Descripciones y viaje,No Aplica,No Aplica
0000553069,FELIPE ANDRES GARCIA QUINTERO,La piedad Poesía reunida (2013-1994),Otro libro publicado,False,Colombia,2015,Editorial Universidad Del Cauca,978-958-732-186-9,,,No Aplica,No Aplica,No Aplica
0000553069,FELIPE ANDRES GARCIA QUINTERO,Qualche Battito,Otro libro publicado,False,Italia,2018,Fili d´Aquilone,978-88-97490-32-6,,,No Aplica,No Aplica,No Aplica
0000553069,FELIPE ANDRES GARCIA QUINTERO,Qualche battito,Otro libro publicado,False,Colombia,2017,Gamar Editores,978-958-9022-06-1,,,No Aplica,No Aplica,No Aplica
0000553069,FELIPE ANDRES GARCIA QUINTERO,Algún latido,Otro libro publicado,False,México,2016,Valparaíso Ediciones México,978-607-8437-27-6,,,No Aplica,No Aplica,No Aplica
0000553069,FELIPE ANDRES GARCIA QUINTERO,Siega,Otro libro publicado,False,Colombia,2017,Plural Editores,978-99954-1-807-6,,,No Aplica,No Aplica,No Aplica
0000553069,FELIPE ANDRES GARCIA QUINTERO,Miral el aire,Otro libro publicado,False,Argentina,2016,El Suri Porfiado,978-987-1541-93-5,,,No Aplica,No Aplica,No Aplica
0000553069,FELIPE ANDRES GARCIA QUINTERO,Piedra vacía,Otro libro publicado,False,España,2017,Isla de Siltolá,978-84-16682-88-1,,,No Aplica,No Aplica,No Aplica
0000553069,FELIPE ANDRES GARCIA QUINTERO,Empy Stone,Otro libro publicado,False,Estados Unidos,2017,MediaIsla Editores,978-1-387-41391-1,,,No Aplica,No Aplica,No Aplica
0000553069,FELIPE ANDRES GARCIA QUINTERO,Terral,Otro libro publicado,False,Italia,2015,Edizioni Fili D´Aquilone,978-88-97490-13-5,,,No Aplica,No Aplica,No Aplica
0000553069,FELIPE ANDRES GARCIA QUINTERO,Índice del viento,Otro libro publicado,False,Ecuador,2014,El Ángel Editor,978-9942-965-16-5,,,No Aplica,No Aplica,No Aplica
0000553069,FELIPE ANDRES GARCIA QUINTERO,La discordia de Babel. Crítica del lenguaje en la poesía hispanoamericana,Libro resultado de investigación,True,Colombia,2020,Gamar Editores,978-958-9022-23-8,,,No Aplica,Humanidades;Idiomas y Literatura;Estudios Literarios,No Aplica
0000553069,FELIPE ANDRES GARCIA QUINTERO,Horizonte De Perros,Otro libro publicado,False,Colombia,2005,Universidad del Valle,9586703894,1,90,Poesía,Humanidades;Idiomas y Literatura;Teoría Literaria,Educación
0000553069,FELIPE ANDRES GARCIA QUINTERO,Vida De Nadie,Otro libro publicado,False,Colombia,2004,FONDO EDITORIAL UNIVERSIDAD EAFIT,9588173817,1,84,Poesía,Humanidades;Idiomas y Literatura;Teoría Literaria,Educación
0000553069,FELIPE ANDRES GARCIA QUINTERO,Siega,Otro libro publicado,False,Colombia,2011,Universidad Industrial De Santander Uis Bucaramanga Sant,978-958-8504-60-5,0,114,No Aplica,No Aplica,No Aplica
0000553069,FELIPE ANDRES GARCIA QUINTERO,La Vastedad Inconclusa. Lecturas De Poesía Moderna En Popayán,Otro libro publicado,False,España,2011,Editoria Académica Española,978-3-8484-7116-4,0,200,No Aplica,No Aplica,No Aplica
0000553069,FELIPE ANDRES GARCIA QUINTERO,El Pastor Nocturno,Otro libro publicado,False,Colombia,2012,Departamento de Publicaciones Universidad Externado De Colombia,978-958-710-818-7,0,80,No Aplica,No Aplica,No Aplica
0000553069,FELIPE ANDRES GARCIA QUINTERO,El Pastor Nocturno,Otro libro publicado,False,República Dominicana,2012,Viento y Borra,978-9945-473-98-8,0,80,No Aplica,No Aplica,No Aplica
0000553069,FELIPE ANDRES GARCIA QUINTERO,Horizonte De Perros,Otro libro publicado,False,Bolivia,2011,Plural Editores,978-99954-1-366-8,0,120,No Aplica,No Aplica,No Aplica
0000553069,FELIPE ANDRES GARCIA QUINTERO,Horizonte De Perros,Otro libro publicado,False,Colombia,2011,Talleres Editoriales del Departamento del Cauca,978-958-57044-1-1,0,132,No Aplica,No Aplica,No Aplica
0000553069,FELIPE ANDRES GARCIA QUINTERO,Terral,Otro libro publicado,False,Uruguay,2013,Yauguru,978-9974-8392-2-9,,,No Aplica,No Aplica,No Aplica
0000553069,FELIPE ANDRES GARCIA QUINTERO,La Piedad,Otro libro publicado,False,México,2013,Mantis Editores,978-607-7943-76-1,,,No Aplica,No Aplica,No Aplica
0000553069,FELIPE ANDRES GARCIA QUINTERO,Piedra Vacía,Otro libro publicado,False,Costa Rica,2013,Editorial Germinal,978-9968-673-46-4,,,No Aplica,No Aplica,No Aplica
0000553069,FELIPE ANDRES GARCIA QUINTERO,Régimen escópico colonial. La representación plástica mural de Popayán,Libro resultado de investigación,True,Colombia,2014,Gamar Editores,9789584627018,,,No Aplica,No Aplica,No Aplica
0000553069,FELIPE ANDRES GARCIA QUINTERO,Tarjo,Otro libro publicado,False,España,2014,Editorial Monema,978-84-942151-1-7,,,Poesía,Humanidades;Idiomas y Literatura;Literatura Específica,No Aplica
0000553069,FELIPE ANDRES GARCIA QUINTERO,Casa de huesos,Otro libro publicado,False,Venezuela,2002,Instituto Merideño de Cultura,980-291-175-5,,,Poesía,Humanidades;Idiomas y Literatura;Literatura Específica,No Aplica
0000553069,FELIPE ANDRES GARCIA QUINTERO,Señales de tránsito,Otro libro publicado,False,Colombia,1997,Cuadernos de Poesía Ophelia,978-96182-1-9,,,Poesía,Humanidades;Idiomas y Literatura;Literatura Específica,No Aplica
0000553069,FELIPE ANDRES GARCIA QUINTERO,Diario sucio. Un viaje por México,Otro libro publicado,False,Colombia,2015,Gamar Editores,978-958-58497-4-7,,,No Aplica,No Aplica,No Aplica
0000110469,"JULIAN ANDRES GRIJALBA OBANDO, ANDRES ALEJANDRO CORDOBA CALVO",CIUDAD SÓNICA: EL CASO PARADIGMÁTICO DE POPAYÁN (COLOMBIA),Libro resultado de investigación,True,Colombia,2020,Editorial Universidad Del Cauca,978-958-732-423-5,,,Paisaje;Paisaje sonoro;Planificación urbana;Ecología acústica;Cartografías sonoras,Ciencias Sociales;Geografía Social y Económica;Estudios Urbanos (Planificación y Desarrollo),No Aplica
0000351369,MARTHA CECILIA DIAZ N/A,Por El Camino Religioso De Popayan Detallemos Sus Iglesias,Libro resultado de investigación,False,Colombia,2007,Ediciones Ministerio De Cultura,958-98439-0-5,1,230,No Aplica,No Aplica,No Aplica
0000351369,"MARTHA CECILIA DIAZ N/A, MONICA BEATRIZ ARBOLEDA CASTRILLON, SORY ALEXANDER MORALES FERNANDEZ",Huellas Históricas Y Arquitectónicas De Haciendas Caucanas,Libro resultado de investigación,False,Colombia,2011,Cargraphis S.A.,978-958-98439-1-8,0,228,Arquitectura;Haciendas;Historia;Patrimonio,No Aplica,No Aplica
0000351660,"MONICA BEATRIZ ARBOLEDA CASTRILLON, MARTHA CECILIA DIAZ N/A, MARIA CECILIA VIVAS DE VELASCO",Por El Camino Religioso De Popayan Detallemos Sus Iglesias,Libro resultado de investigación,False,Colombia,2007,Ediciones Ministerio De Cultura,978-958-98439-0-1,200,120,arquitectura;cultura;iglesias;religioso;tradición,Humanidades;Arte;Artes plásticas y visuales,Educación
0000351660,MONICA BEATRIZ ARBOLEDA CASTRILLON,Huellas Históricas Y Arquitectónicas De Haciendas Caucanas,Libro resultado de investigación,False,Colombia,2011,Cargraphis S.A.,978-958-98439-1-8,1,232,No Aplica,No Aplica,No Aplica
0000010581,"GUILLERMO EDUARDO AVILA ALVAREZ, CARLOS EDUARDO CUBILLOS PENA, ENIF MEDINA BELLO, EDGAR ALEXANDER RODRIGUEZ CASTIBLANCO, CARLOS EDUARDO RODRIGUEZ PINEDA, GLORIA LUCIA RUIZ PENA","Guía Metodológica para Estudios de Amenaza, Vulnerabilidad y Riesgo por Movimientos en Masa",Libro resultado de investigación,False,Colombia,2015,Imprenta Nacional de Colombia,978-958-99528-5-6,,,Amenazas;Deslizamiento;Riesgo,"Ciencias Naturales;Ciencias de la Tierra y Medioambientales;Geociencias (Multidisciplinario), Ciencias Naturales;Ciencias de la Tierra y Medioambientales;Geología, Ingeniería y Tecnología;Ingeniería Civil;Ingeniería Civil, Ingeniería y Tecnología;Ingeniería Ambiental;Ingeniería Ambiental y Geológica",No Aplica
0000695211,EDWIN RENGIFO CANIZALES,ESTADISTICA Y PROBABILIDAD,Libro resultado de investigación,False,Colombia,2021,EDICIONES POPAYAN POSITIVA,978-958-49-1673-0,,,No Aplica,Ingeniería y Tecnología;Otras Ingenierías y Tecnologías;Otras Ingenierías y Tecnologías,No Aplica
0000695211,EDWIN RENGIFO CANIZALES,INFERENCIA BASICA EN MUESTREO ALEATORIO SIMPLE Y ESTRATIFICADO,Libro resultado de investigación,False,Colombia,2021,EDICIONES POPAYAN POSITIVA,978-958-49-3828-2,,,No Aplica,Ingeniería y Tecnología;Otras Ingenierías y Tecnologías;Otras Ingenierías y Tecnologías,No Aplica
0000009955,"ENIF MEDINA BELLO, CARLOS EDUARDO CUBILLOS PENA, CARLOS EDUARDO RODRIGUEZ PINEDA, EDGAR ALEXANDER RODRIGUEZ CASTIBLANCO, GLORIA LUCIA RUIZ PENA, GUILLERMO EDUARDO AVILA ALVAREZ","GUÍA METODOLÓGICA PARA ESTUDIOS DE AMENAZA, VULNERABILIDAD Y RIESGO POR MOVIMIENTOS EN MASA",Libro resultado de investigación,False,Colombia,2015,Imprenta Nacional de Colombia,978-958-99528-5-6,,,amenazas;deslizamientos;movimientos en masa;riesgo;vulnerabilidad,Ciencias Naturales;Ciencias de la Tierra y Medioambientales;Geociencias (Multidisciplinario),No Aplica
0001342535,"FABIO NEBARDO GEMBUEL TUNUBALA, DIANA PAOLA MUNOZ MARTINEZ",Umbral naciente: Del ser del maestro de arte y Cultura y la obra en contexto,Libro resultado de investigación,False,Colombia,2022,Editorial FUP,978-628-95403-4-5,,,No Aplica,"Ciencias Sociales;Ciencias de la Educación;Educación General (Incluye Capacitación, Pedagogía)",No Aplica
0001342535,"YENIFER ANDREA CATANO VARGAS, DIANA PAOLA MUNOZ MARTINEZ",Formación a través de la Escritura,Libro resultado de investigación,False,Colombia,2021,Editorial FUP,978-958-53121-4-2,,,No Aplica,"Ciencias Sociales;Ciencias de la Educación;Educación General (Incluye Capacitación, Pedagogía)",No Aplica
0001342535,"FABIO NEBARDO GEMBUEL TUNUBALA, DIANA PAOLA MUNOZ MARTINEZ",Pedagogía e investigación: la idea de estar comprometidos artísticamente en un contexto intercultural.,Libro resultado de investigación,False,Colombia,2022,Editorial FUP,978-628-95403-6-9,,,No Aplica,"Ciencias Sociales;Ciencias de la Educación;Educación General (Incluye Capacitación, Pedagogía)",No Aplica
0001342535,DIANA PAOLA MUNOZ MARTINEZ,"La experiencia pedagógica, Proyecto vida: Expresando mis emociones",Libro resultado de investigación,False,Colombia,2022,Editorial FUP,978-628-95403-5-2,,,No Aplica,"Ciencias Sociales;Ciencias de la Educación;Educación General (Incluye Capacitación, Pedagogía)",No Aplica
0001420521,MILLER VELOSA SANDOVAL,TALLERAMA LITERARIO INFANTIL - 40 técnicas para promover la creación literaria con y para los niños.,Libro pedagógico y/o de divulgación,False,Colombia,2017,No Aplica,978-958-48-1966-6,,,No Aplica,No Aplica,No Aplica
0001539869,PAULO CESAR ALEGRIA PENA,"Arte y Motricidad Humana, un estudio de caso",Libro resultado de investigación,True,Colombia,2015,Editorial Universidad Del Cauca,978-958-732-176-0,,,No Aplica,No Aplica,No Aplica
0001763419,YENIFER ANDREA CATANO VARGAS,Autobiografía como posibilidad de Formaciòn,Libro resultado de investigación,False,Colombia,2021,Sello Editorial FUP,978-958- 53121-4-2,,,No Aplica,"Ciencias Sociales;Ciencias de la Educación;Educación General (Incluye Capacitación, Pedagogía)",No Aplica
0000243540,BERNARDO JAVIER TOBAR QUITIAQUEZ,La fiesta una obligación. Artesanos intelectuales en la imaginación de otros mundos,Libro resultado de investigación,True,Colombia,2014,Sello Editorial Universidad del Cauca,978-958-732-147-0,,,No Aplica,No Aplica,No Aplica
0000243540,BERNARDO JAVIER TOBAR QUITIAQUEZ,la fiesta una obligación. Artesanos intelectuales en la imaginación de otros mundos,Libro resultado de investigación,True,Colombia,2016,Editorial Universidad Del Cauca,978-958-732-227-9,,,No Aplica,No Aplica,No Aplica
0000243540,BERNARDO JAVIER TOBAR QUITIAQUEZ,"Cauca, café con raíces.Caficulturas, agroecologías y economía social y solidaria",Libro resultado de investigación,False,Colombia,2018,Editorial Universidad Del Cauca,97-958-732-339-9,,,No Aplica,No Aplica,No Aplica
0000243540,BERNARDO JAVIER TOBAR QUITIAQUEZ,Derrida desde el sur. La universidad del monte o el pensamiento sin claustro,Libro resultado de investigación,False,Colombia,2017,Editorial Universidad Del Cauca,78-958-732-305-4,,,No Aplica,No Aplica,No Aplica
0000243540,BERNARDO JAVIER TOBAR QUITIAQUEZ,El patrimonio cultural en tiempos globales,Libro resultado de investigación,False,Colombia,2018,Editorial Universidad Del Cauca,78-958-732-322-1,,,No Aplica,No Aplica,No Aplica
0000243540,BERNARDO JAVIER TOBAR QUITIAQUEZ,diversidad epistemica y pensamiento crítico,Libro resultado de investigación,True,Colombia,2019,Editorial De La Universidad Del Cauca,978-958-732-359-7,,,Diversidad epistémica,"Ciencias Sociales;Otras Ciencias Sociales;Ciencias Sociales, Interdisciplinaria",No Aplica
0000243540,BERNARDO JAVIER TOBAR QUITIAQUEZ,saberes y prácticas para el buen vivir,Libro resultado de investigación,True,Colombia,2020,Ediorial Universidad Del Cauca,978-958-7323-726,,,buen vivir,"Ciencias Sociales;Otras Ciencias Sociales;Ciencias Sociales, Interdisciplinaria",No Aplica
0000243540,BERNARDO JAVIER TOBAR QUITIAQUEZ,innovación social y saberes en dialogo,Libro resultado de investigación,True,Colombia,2019,Editorial Universidad Del Cauca,978-958-732-351-1,,,No Aplica,"Ciencias Sociales;Otras Ciencias Sociales;Ciencias Sociales, Interdisciplinaria",No Aplica
0000243540,BERNARDO JAVIER TOBAR QUITIAQUEZ,"Perdón, Violencia Y Disidencia",Libro resultado de investigación,False,Colombia,2005,Editorial Universidad Del Cauca,958-9475-53-1,1,1,No Aplica,No Aplica,No Aplica
0000243540,BERNARDO JAVIER TOBAR QUITIAQUEZ,Biopolítica Y Filosofías De Vida,Libro resultado de investigación,False,Colombia,2006,Editorial Universidad Del Cauca,978-958-9451-17-5,1,199,biopoder;AMBIENTE;DIVERSIDAD,Ciencias Sociales;Sociología;Antropología,No Aplica
0000243540,BERNARDO JAVIER TOBAR QUITIAQUEZ,Territorios Del Saber. Discursos Y Prácticas Del Desarrollo Globalocal,Libro resultado de investigación,True,Colombia,2006,Universidad del Cauca,978-958-9451-18-2,1,197,Desarrollo regional;globalización,Ciencias Sociales;Sociología;Antropología,Educación
0000738417,"ANDRES MAURICIO GOMEZ SANCHEZ, JULIANA ISABEL SARMIENTO CASTILLO, CLAUDIA LICETH FAJARDO HOYOS",Diagnóstico Mercado de Trabajo Popayán,Libro resultado de investigación,True,Colombia,2013,PNUD,978-958-732-121-0,,,No Aplica,No Aplica,No Aplica
0000738417,ANDRES MAURICIO GOMEZ SANCHEZ,Analisis Y Predicción De La Economía Del Cauca 1960-2005,Libro resultado de investigación,False,Colombia,2006,Universidad del Cauca,9589451063,1,160,Productividad;Personal Ocupado;Capital;Ley Páez,Ciencias Sociales;Economía y Negocios;Economía,Educación
0001428651,ANGELICA MARIA GOMEZ MEDINA,Une Génération En Tensions. Les Droits Sexuels Et Reproductifs Vis- À-Vis De La Morale Colombienne: La Perspective De Jeunes Adolescents,Libro resultado de investigación,False,Alemania,2010,Éditions universitaires européennes,978-613-1-55514-5,0,156,No Aplica,No Aplica,No Aplica
0001339870,CRISTIAN ORLANDO ESTRELLA VIVEROS,"Herramientas de apoyo a la gestión. Estrategia de Promotores Regionales (EPR), guía básica para el promotor",Libro resultado de investigación,False,Colombia,2013,Ministerio De Cultura De Colombia,978-958-8827-08-7,,,No Aplica,Humanidades;Otras Humanidades;Otras Humanidades,No Aplica
0000332712,"DEYCY JANETH SANCHEZ PRECIADO, ADOLFO PLAZAS TENORIO, LUZ STELLA PEMBERTHY GALLO",Método de Planeación Tecnológica para Agrocadenas de Pequeña Escala,Libro resultado de investigación,True,Colombia,2010,Ediorial Universidad Del Cauca,978-958-732-036-7,500,180,No Aplica,No Aplica,No Aplica
