idcvlac,categoria,nombre,nombre_citaciones,nacionalidad,sexo
0001728290,No Aplica,Ana María Agudelo Cordoba,"AGUDELO CORDOBA, ANA MARÍA",Colombiana,Femenino
0001209345,No Aplica,Arcadio PEPICANO BELTRAN,"PEPICANO BELTRAN, ARCADIO",Colombiana,Masculino
0000012114,Investigador Asociado ,Aristofeles Ortiz,"ORTIZ, ARISTOFELES",Colombiana,Masculino
0000163538,No Aplica,Bibiana Stella Duarte Restrepo,"DUARTE RESTREPO, BIBIANA STELLA",Colombiana,Femenino
0001381457,No Aplica,Camilo Andres Arboleda Pardo,"ARBOLEDA PARDO, CAMILO ANDRES",Colombiana,Masculino
0001382408,No Aplica,Clara Edith Fernandez Ortega,"FERNANDEZ ORTEGA, CLARA EDITH",Colombiana,Femenino
0001382558,No Aplica,Diana Andrea Cardona Peña,"CARDONA PEÑA, DIANA ANDREA",Colombiana,Femenino
0000449555,No Aplica,Diana Milena Muñoz Solarte,"MUÑOZ SOLARTE, DIANA MILENA",Colombiana,Femenino
0000170534,No Aplica,Efren Giraldo Rincón,"GIRALDO RINCON, EFREN",Colombiana,Masculino
0001271750,No Aplica,Eliana Maria Cardona Caicedo,"CAICEDO, E. M. C.",Colombiana,Femenino
0000163635,No Aplica,Eliana Mercedes Valencia Chavarro,"VALENCIA CHAVARRO, ELIANA MERCEDES",Colombiana,Femenino
0000526320,No Aplica,Elizabeth Lourdes Cuatindioy Paz,"PAZ, E. L. C.",Colombiana,Femenino
0001294210,Investigador Junior ,Fernando Andrés MUÑOZ GÓMEZ,"MUÑOZ GÓMEZ, FERNANDO ANDRÉS",Colombiana,Masculino
0000862975,No Aplica,Gaby Marcela Muñoz Gallego,"GALLEGO, G. M. M.",Colombiana,Femenino
0000526509,No Aplica,Greysi Carolina Burbano Latorre,"LATORRE, G. C. B.",Colombiana,Femenino
0001650763,No Aplica,harold hernan gomez palacios,"GOMEZ PALACIOS, HAROLD HERNAN",Colombiana,Masculino
0000170585,No Aplica,Isabel Del Socorro Bravo Realpe,"BRAVO REALPE, ISABEL DEL SOCORRO",Colombiana,Femenino
0000176505,No Aplica,IVONNE AMPARO RAMIREZ GONZALEZ,"RAMIREZ GONZALEZ, IVONNE AMPARO",Colombiana,Femenino
0000103248,No Aplica,Jaime Andrés Parra Reyes,"PARRA REYES, JAIME ANDRÉS",Colombiana,Masculino
0000411027,No Aplica,Jardiel Obeimar Burbano Navia,"NAVIA, J. O. B.",Colombiana,Masculino
0001539793,No Aplica,JESÚS DAVID HURTADO VALENCIA,"HURTADO, J. D.",Colombiana,Masculino
0000094798,No Aplica,Jhonny Paul Taborda Mosquera,"TABORDA MOSQUERA, JHONNY PAUL",Colombiana,Masculino
0000060485,No Aplica,Jose Alexander Jimenez Muñoz,"JIMENEZ MUÑOZ , JOSE ALEXANDER",Colombiana,Masculino
0000152633,No Aplica,Juan Carlos MONTOYA SALAZAR,"MONTOYA SALAZAR, JUAN CARLOS",Colombiana,Masculino
0001326066,No Aplica,Juan Carlos Ruiz,"RUIZ , JUAN CARLOS",Colombiana,Masculino
0000129740,No Aplica,JULIAN ANDRES ENCISO VARGAS,"ENCISO VARGAS, JULIAN ANDRES",Colombiana,No Aplica
0001408586,No Aplica,JULIE VIVIANA MAYA GIRÓN,"MAYA GIRÓN, JULIE VIVIANA",Colombiana,Femenino
0000178550,No Aplica,Laura Camila Estrella Ramírez,"ESTRELLA RAMÍREZ, LAURA CAMILA",Colombiana,Femenino
0001390090,No Aplica,LEIDY ROCIO NIÑO CAMACHO,"NIÑO CAMACHO, LEIDY ROCIO",Colombiana,Femenino
0000060490,No Aplica,Leydi Johanna Conú Figueroa,"CONÚ FIGUEROA, LEYDI JOHANNA",Colombiana,Femenino
0001632251,No Aplica,Libardo Jesus Ante Suarez,"ANTE SUAREZ, LIBARDO JESUS",Colombiana,Masculino
0000371440,No Aplica,Liliana Montalvo Velez,"MONTALVO VELEZ, LILIANA",Colombiana,Femenino
0000848441,No Aplica,Luis GOMEZ HORMIGA,"GOMEZ HORMIGA, L. F.",Colombiana,Masculino
0000771554,No Aplica,Luisa Mariela Marquínez Yunda,"YUNDA, L. M. M.",Colombiana,Femenino
0001271687,No Aplica,Marcela Isabel Moreno Tovar,"TOVAR, M. I. M.",Colombiana,Femenino
0001726488,No Aplica,Maria Alejandra Sarasty Pabon,"SARASTY PABON, MARIA ALEJANDRA",Colombiana,Femenino
0000536520,No Aplica,Maria Fernanda Medina Viana,"VIANA, M. F. M.",Colombiana,Femenino
0000118854,No Aplica,Meliza Noriega Aragon,"NORIEGA ARAGON, MELIZA",Colombiana,Femenino
0001823294,No Aplica,Mónica Marcela Carvajal Molina,"CARVAJAL MOLINA , MÓNICA MARCELA",Colombiana,Femenino
0001700551,No Aplica,Paola Andrea Zarama Realpe,"ZARAMA REALPE, PAOLA ANDREA",Colombiana,No Aplica
0000174866,No Aplica,Paula Andrea Garcés Constain,P. Garcés,Colombiana,Femenino
0001538712,No Aplica,Rafael Andrés Solano López,"SOLANO LÓPEZ, RAFAEL ANDRÉS",Colombiana,Masculino
0001659113,No Aplica,RICARDO DANIEL BRAVO ASTAIZA,"BRAVO ASTAIZA, RICARDO DANIEL",Colombiana,Masculino
0000168084,Investigador Junior ,Rodrigo Andrés Sarria Villa,"SARRIA VILLA, RODRIGO ANDRÉS",Colombiana,Masculino
0000771546,No Aplica,Sandra Faisuler Potosi Rodríguez,"POTOSI RODRÍGUEZ, SANDRA FAISULER",Colombiana,Femenino
0001271695,No Aplica,Sara Marcela Suarez Dorado,"SUAREZ DORADO, SARA MARCELA",Colombiana,Femenino
0001822628,No Aplica,Viviana Andrea Muñoz Portilla,"MUÑOZ PORTILLA, VIVIANA ANDREA",Colombiana,Femenino
0001270230,No Aplica,William Alberto Cisneros Ordoñez,"CISNEROS ORDOÑEZ, WILLIAM ALBERTO",Colombiana,Masculino
0001603601,No Aplica,Ximena Prieto Salamanca,"PRIETO SALAMANCA, XIMENA",Colombiana,No Aplica
0000935433,No Aplica,Yenny Alejandra Valencia López,"LÓPEZ, Y. A. V.",Colombiana,Femenino
0001459435,Investigador Junior ,Zuly Yuliana Delgado ESPINOSA,"DELGADO ESPINOSA, ZULY YULIANA",Colombiana,Femenino
0000044617,No Aplica,Maria Isabel Mazorra Argote,"MAZORRA ARGOTE, MARIA ISABEL",Colombiana,Femenino
0000642452,Investigador Junior ,SORY ALEXANDER MORALES FERNANDEZ,"MORALES FERNANDEZ, SORY ALEXANDER",Colombiana,Masculino
0000110114,No Aplica,Ancisar Javier Muñoz Hoyos,"MUÑOZ HOYOS, JAVIER",Colombiana,Masculino
0000118695,No Aplica,ANDREA CATHERINE GUEVARA MUÑOZ,"GUEVARA MUÑOZ, ANDREA CATHERINE",Colombiana,Femenino
0001638267,Investigador Junior ,Andrés Alejandro Córdoba Calvo,"CÓRDOBA CALVO, ANDRÉS ALEJANDRO",Colombiana,Masculino
0001045482,No Aplica,Angela María Guzmán Donsel,"GUZMÁN DONSEL, ANGELA MARÍA",Colombiana,Femenino
0001713334,No Aplica,Carlos Andres Duran Paredes,"DURAN PAREDES, CARLOS ANDRES",Colombiana,Masculino
0000109312,No Aplica,César Luis Peña Avila,"PEÑA AVILA, CÉSAR LUIS",Colombiana,Masculino
0000692662,No Aplica,Clara Ines Uribe Giraldo,"URIBE GIRALDO, CLARA INES",Colombiana,Femenino
0000118804,No Aplica,Cristian Daniel Paez Carvajal,"PAEZ CARVAJAL, CRISTIAN DANIEL",Colombiana,Masculino
0000553069,Investigador Junior ,Felipe Andrés García Quintero,"GARCÍA QUINTERO, FELIPE ANDRÉS",Colombiana,Masculino
0001672404,No Aplica,Gary Fernando Polanco Angel,Polanco Angel,Colombiana,Masculino
0001745210,No Aplica,GENITH PATRICIA SALAZAR GONZALEZ,"SALAZAR GONZALEZ, GENITH PATRICIA",Colombiana,Femenino
0000040099,No Aplica,Germán Camilo Chamorro Gómez,"CHAMORRO GÓMEZ, GERMÁN CAMILO",Colombiana,Masculino
0000116952,No Aplica,Javier Velasco Mosquera,"VELASCO MOSQUERA, JAVIER",Colombiana,Masculino
0001712515,No Aplica,Jesús Eduardo Casanova Meneses,JCasanova,Colombiana,Masculino
0001672407,No Aplica,Jhonny Alexis Velasco Sevilla,J Alexis VS,Colombiana,Masculino
0000004636,No Aplica,jose alfonso espada villaquiran,"ESPADA VILLAQUIRAN, JOSE ALFONSO",Colombiana,Masculino
0001672402,No Aplica,José Leonardo Bravo López,Leonardo Bravo,Colombiana,Masculino
0001303503,No Aplica,Jose Luis Farelo Guerra,"FARELO GUERRA, JOSE LUIS",Colombiana,Masculino
0000620165,No Aplica,Juan Carlos Buitrago Vargas,"BUITRAGO VARGAS, JUAN CARLOS",Colombiana,Masculino
0000676705,No Aplica,Juan Carlos Olivar Castillo,"OLIVAR CASTILLO, JUAN CARLOS",Colombiana,Masculino
0000000793,No Aplica,juan carlos solano henao,"SOLANO HENAO, JUAN CARLOS",Colombiana,Masculino
0000171213,No Aplica,Juan Martín Paz Ussa,"PAZ USSA, JUAN MARTÍN",Colombiana,Masculino
0000110469,Investigador Junior ,Julian Andres Grijalba Obando,Julián Grijalba,Colombiana,Masculino
0000110638,No Aplica,Karol Tatiana Muñoz Hurtado,"MUÑOZ HURTADO, KAROL TATIANA",Colombiana,Femenino
0000110643,No Aplica,Laura Catalina Muñoz Pabón,LCM Pabón,Colombiana,Femenino
0001675495,No Aplica,Libia Maria Perafán Campo,Libia Ma. Perafan C.,Colombiana,Femenino
0001672406,No Aplica,Lina Fernanda Samboní Bolaños,Lina Samboní B,Colombiana,Femenino
0000141363,No Aplica,Lorena RUIZ CUCALON,"RUIZ CUCALON, LORENA",Colombiana,Femenino
0001128892,No Aplica,Lyda Eucaris Campo Vidal,"CAMPO VIDAL, LYDA EUCARIS",Colombiana,Femenino
0001651026,No Aplica,Marbelith Victoria Becerra Linares,Victoria Becerra,Colombiana,Femenino
0000351466,No Aplica,Maria Cecilia Vivas de Velasco,"VELASCO, M. C. V.",Colombiana,Femenino
0000351369,No Aplica,Martha Cecilia Diaz N/A,"DIAZ N/A, MARTHA CECILIA",Colombiana,Femenino
0000119170,No Aplica,Mayra Alexandra Parra Maca,"PARRA MACA, MAYRA ALEXANDRA",Colombiana,Femenino
0000351660,No Aplica,Mónica Beatriz Arboleda Castrillón,"CASTRILLÓN, M. B. A.",Colombiana,Femenino
0001672405,No Aplica,oscar daniel muñoz ferreira,Oscar D Ferreira,Colombiana,Masculino
0000110125,No Aplica,OSCAR DAVID IBARRA FLOREZ,"IBARRA FLOREZ, OSCAR DAVID",Colombiana,Masculino
0001527315,No Aplica,Sandra Mónica Valencia Camargo,"VALENCIA CAMARGO, SANDRA MÓNICA",Colombiana,Femenino
0000676446,No Aplica,Sandra Patricia Artunduaga Lombo,"ARTUNDUAGA LOMBO, SANDRA PATRICIA",Colombiana,Femenino
0000902284,No Aplica,Tomas CASTRILLON VALENCIA,"CASTRILLON VALENCIA, TOMAS",Colombiana,Masculino
0000040775,No Aplica,Victor Hugo Agredo Echavarria,"AGREDO ECHAVARRIA, VICTOR HUGO",Colombiana,Masculino
0001634010,No Aplica,yeison dario hurtado lopez,"HURTADO LOPEZ, YEISON DARIO",Colombiana,Masculino
0000124109,No Aplica,Zuleidy Alexandra Delgado Rivera,Alexandra Delgado R.,Colombiana,Femenino
0000044858,No Aplica,Alexandra Ardila Muñoz,"ARDILA MUÑOZ, ALEXANDRA",Colombiana,Femenino
0001464800,No Aplica,Francisco León Zúñiga Bolivar,"ZÚÑIGA BOLIVAR, FRANCISCO LEÓN",Colombiana,Masculino
0001706366,No Aplica,Luis Alberto Santanilla Sandoval,"SANTANILLA SANDOVAL, LUIS ALBERTO",Colombiana,Masculino
0000093076,Investigador Asociado ,Juan Carlos Casas Zapata,"CASAS ZAPATA, JUAN CARLOS",Colombiana,Masculino
0001437368,No Aplica,Aida Cristina Méndez López,"MÉNDEZ LÓPEZ, AIDA CRISTINA",Colombiana,Femenino
0001491477,No Aplica,Andrea Stefania Salazar QUICENO,"SALAZAR QUICENO, ANDREA STEFANIA",Colombiana,Femenino
0000055985,No Aplica,Ángela Sofía Gómez López,"GÓMEZ LÓPEZ, ÁNGELA SOFÍA",Colombiana,Femenino
0001573872,No Aplica,Carolina Fernández Tulande,"FERNÁNDEZ-TULANDE, CAROLINA",Colombiana,Femenino
0001246984,Investigador Junior ,César Fernández Morantes,"FERNÁNDEZ MORANTES, CÉSAR",Colombiana,Masculino
0001557850,No Aplica,Claudia Liliana Quiroz Vela,"QUIROZ VELA, CLAUDIA LILIANA",Colombiana,Femenino
0000037928,No Aplica,Claudia Vanesa Solarte Villamarin,"SOLARTE VILLAMARIN, CLAUDIA VANESA",Colombiana,Femenino
0001558642,No Aplica,Cristian David Muñoz Paz,"MUÑOZ PAZ, CRISTIAN DAVID",Colombiana,Masculino
0001844188,No Aplica,Damián José Gabriel Marino,"MARINO, DAMIÁN JOSÉ GABRIEL",Extranjero - otra,Masculino
0000153957,No Aplica,Daniel Alejandro Hoyos Lopez,"HOYOS LOPEZ, DANIEL ALEJANDRO",Colombiana,Masculino
0000058508,No Aplica,Diana Carolina Caicedo Ruiz,"CAICEDO RUIZ, DIANA CAROLINA",Colombiana,Femenino
0001461678,No Aplica,DIANA CAROLINA GUZMAN ORTIZ,"GUZMAN ORTIZ, DIANA CAROLINA",Colombiana,Femenino
0001589318,No Aplica,Diego Alejandro Florez Guerrero,"FLOREZ GUERRERO, DIEGO ALEJANDRO",Colombiana,Masculino
0001481292,No Aplica,DORA MARCELA BENITEZ RAMIREZ,"BENITEZ RAMIREZ, DORA MARCELA",Colombiana,Femenino
0000010581,No Aplica,Edgar Alexander Rodríguez Castiblanco,"RODRÍGUEZ CASTIBLANCO, EDGAR ALEXANDER",Colombiana,Masculino
0000406368,No Aplica,Edna Rocio Cabrera Martinez,"CABRERA MARTINEZ, EDNA ROCIO",Colombiana,Femenino
0001665856,No Aplica,Edwin Fernando Sierra Gaviria,"SIERRA GAVIRIA, EDWIN FERNANDO",Colombiana,Masculino
0000695211,No Aplica,Edwin Rengifo Canizales,"CANIZALES, E. R.",Colombiana,Masculino
0001488592,Investigador Junior ,Efren Venancio Ramos Cabrera,"RAMOS CABRERA, EFREN VENANCIO",Colombiana,Masculino
0000009955,No Aplica,Enif Medina Bello,"MEDINA BELLO, ENIF",Colombiana,Femenino
0001572306,No Aplica,FABIÁN ALBERTO RUIZ GUZMÁN,"RUIZ GUZMÁN, FABIÁN ALBERTO",Colombiana,Masculino
0001574214,No Aplica,GENNY LIZZETH PAZ MOTTA,"PAZ MOTTA, GENNY LIZZETH",Colombiana,Femenino
0001082124,No Aplica,Jaime RESTREPO GIRALDO,"RESTREPO GIRALDO, JAIME",Colombiana,Masculino
0001754812,No Aplica,John Fander Higidio Castro,"Higidio-Castro, J.F",Colombiana,Masculino
0001575459,No Aplica,Jose Ordoñez Ordoñez,"ORDOÑEZ ORDOÑEZ, JOSE",Colombiana,Masculino
0001583479,No Aplica,Juan Jose Rivera Rengifo,"RIVERA RENGIFO, JUAN JOSE",Colombiana,Masculino
0000091444,No Aplica,Juan Pablo Catamuscay Salazar,"CATAMUSCAY SALAZAR, JUAN PABLO",Colombiana,Masculino
0001502327,Investigador Junior ,Juan Pablo Serna López,"Serna, Juan Pablo",Colombiana,Masculino
0001953913,No Aplica,Karolina Maca Muñoz,"MACA MUÑOZ, KAROLINA",Colombiana,Femenino
0001572686,No Aplica,Laura Isabel Delgado Calvache,"DELGADO CALVACHE , LAURA ISABEL",Colombiana,Femenino
0001472310,No Aplica,Lina Vanesa Garcia Peña,"GARCIA PEÑA, LINA VANESA",Colombiana,Femenino
0000063139,No Aplica,LUZ ALEJANDRA ROJAS CALVACHE,"ROJAS CALVACHE, LUZ ALEJANDRA",Colombiana,Femenino
0001583473,No Aplica,Maira Liseth Charry Bocanegra,"CHARRY BOCANEGRA, MAIRA LISETH",Colombiana,Femenino
0001600308,No Aplica,Mauricio Hernán Aguirre Gómez,"AGUIRRE GÓMEZ, MAURICIO HERNÁN",Colombiana,No Aplica
0001382366,No Aplica,Mayra Andrea Zamora Moreno,"ZAMORA MORENO, MAYRA ANDREA",Colombiana,Femenino
0001437370,Investigador Junior ,Nasly Yanid Delgado Espinosa,Nasly Delgado,Colombiana,Femenino
0000835994,Investigador Asociado ,Nazly Efredis Sanchez Peña,"SANCHEZ PEÑA, NAZLY EFREDIS",Colombiana,Femenino
0001344031,Investigador Junior ,Nixon Alexander Correa Muñoz,"Nixon Correa, NA Correa-Muñoz, NAC Muñoz, N. A. Correa Muñoz",Colombiana,Masculino
0001712994,No Aplica,Paola Andrea Rivera Chantre,"RIVERA CHANTRE, PAOLA ANDREA",Colombiana,Femenino
0000037929,No Aplica,Paola Andrea Urrea Ordoñez,"URREA ORDOÑEZ, PAOLA ANDREA",Colombiana,Femenino
0001437776,No Aplica,Ricardo Andres Rosero Garces,"ROSERO GARCES, RICARDO ANDRES",Colombiana,Masculino
0001441853,No Aplica,Roberto Briones Gallardo,"BRIONES GALLARDO, ROBERTO",Mexicana,Masculino
0000001314,No Aplica,Sandra Viviana Bolaños Benítez,"Bolaños, V.",Colombiana,Femenino
0001405361,No Aplica,Tatiana Andrea Davila MARTINEZ,"DAVILA MARTINEZ, TATIANA ANDREA",Colombiana,Femenino
0000693766,No Aplica,Tomás Ramón Florville Alejandre,"FLORVILLE ALEJANDRE, TOMÁS RAMÓN",Mexicana,No Aplica
0000889237,No Aplica,WILSON ANDRES BETANCOURT VILLALOBOS,"BETANCOURT VILLALOBOS, WILSON ANDRES",Colombiana,Masculino
0001618529,No Aplica,Yessica Viviana Muñoz Bolaños,"MUÑOZ BOLAÑOS, YESSICA VIVIANA",Colombiana,Femenino
0001571946,No Aplica,yina fernanda jimenez ceron,"JIMENEZ CERON, YINA FERNANDA",Colombiana,Femenino
0000153623,No Aplica,Yury Lizeth Bermeo González,"BERMEO GONZÁLEZ , YURY LIZETH",Colombiana,Femenino
0001342535,Investigador Junior ,DIANA PAOLA MUÑOZ MARTÍNEZ,"MUÑOZ MARTÍNEZ, DIANA PAOLA",Colombiana,Femenino
0001420523,Investigador Junior ,Fabio Nebardo Gembuel TUnubala,"GEMBUEL TUNUBALA, FABIO NEBARDO",Colombiana,Masculino
0000157197,No Aplica,Alejandra Vergara Martínez,"VERGARA MARTÍNEZ, ALEJANDRA",Colombiana,Femenino
0001591161,No Aplica,Alexander Buzzi Ruano,"BUZZI RUANO, ALEXANDER",Colombiana,Masculino
0001420540,No Aplica,Ana María Muñoz Arroyo,Ana María Muñoz Arroyo,Colombiana,Femenino
0001442946,No Aplica,Annie Jénifer Gómez Vargas,"GÓMEZ VARGAS, ANNIE JÉNIFER",Colombiana,Femenino
0001549224,No Aplica,Beatriz Eugenia Chaparro Gómez,"CHAPARRO GÓMEZ, BEATRIZ EUGENIA",Colombiana,Femenino
0001345457,No Aplica,Carlos Manuel Cardona Chávez,"Lugares Comunes, Tesis de grado, Universidad del Cauca",Colombiana,Masculino
0001767519,No Aplica,Deicy Yazmin zemanate carvajal,"ZEMANATE CARVAJAL, DEICY YAZMIN",Colombiana,Femenino
0000162290,No Aplica,Dora Marcela Gutiérrez Losada,"GUTIÉRREZ LOSADA, DORA MARCELA",Colombiana,Femenino
0000110349,No Aplica,Jaime Alejandro Muñoz Mera,"MUÑOZ MERA, JAIME ALEJANDRO",Colombiana,Masculino
0000110366,No Aplica,Juliana Daniela Ojeda Paz,"OJEDA PAZ, JULIANA DANIELA",Colombiana,Femenino
0001903029,No Aplica,Leidy Johanna Ipia Dizu,"Ipia, L.",Colombiana,Femenino
0001549228,No Aplica,Luis Orlando Tintinago López,Tintinago Orlando,Colombiana,Masculino
0001681731,No Aplica,maria cecilia diaz frieser,maría cecilia díaz frieser,Chilena,Femenino
0001693827,No Aplica,María Consuelo Uribe Astudillo,"URIBE ASTUDILLO, MARÍA CONSUELO",Colombiana,Femenino
0001694250,No Aplica,María Lucia Lasso Orozco,"LASSO OROZCO, MARÍA LUCIA",Colombiana,Femenino
0001420522,No Aplica,Maritza Eugenia Molano Ordóñez,"MOLANO ORDÓÑEZ, MARITZA EUGENIA",Colombiana,Femenino
0001420521,No Aplica,MILLER VELOSA SANDOVAL,"VELOSA SANDOVAL, MILLER",Colombiana,Masculino
0001539869,No Aplica,Paulo Cesar Alegria Peña,"ALEGRIA PEÑA, PAULO CESAR",Colombiana,Masculino
0000124877,No Aplica,Rudver Fabián Rojas,"ROJAS , RUDVER FABIÁN",Colombiana,Masculino
0001421148,No Aplica,Santiago Hurtado Cerón,"Hurtado, Santiago",Colombiana,Masculino
0000162040,No Aplica,Verónica Mabel Paz Solarte,"PAZ SOLARTE, VERÓNICA MABEL",Colombiana,Femenino
0001755935,No Aplica,VIVIAN KATHERINE GÓMEZ TORRES,"GÓMEZ, T. VIVIAN",Colombiana,Femenino
0000810126,No Aplica,Yady Esperanza Ramirez MONTILLA,"RAMIREZ MONTILLA, YADY ESPERANZA",Colombiana,Femenino
0001763419,No Aplica,Yenifer Andrea Cataño Vargas,"CATAÑO VARGAS, YENIFER ANDREA",Colombiana,Femenino
0000243540,Investigador Junior ,Bernardo Javier TOBAR QUITIAQUEZ,"TOBAR QUITIAQUEZ, BERNARDO JAVIER",Colombiana,Masculino
0001483838,No Aplica,Jhonatan Alexander Moreno Delacruz,"Moreno-Delacruz, J",Colombiana,Masculino
0001612684,No Aplica,ALEX FRANCISCO AUDIVERT,"AUDIVERT , ALEX FRANCISCO",Colombiana,Masculino
0000738417,Investigador Junior ,Andrés Mauricio Gómez Sánchez,"GÓMEZ SÁNCHEZ, ANDRÉS MAURICIO",Colombiana,Masculino
0001428651,No Aplica,Angelica Maria Gomez Medina,"GOMEZ MEDINA, ANGELICA MARIA",Colombiana,Femenino
0000721700,No Aplica,Arelis ENRIQUEZ PATIÑO,"ENRIQUEZ PATIÑO, ARELIS",Colombiana,Femenino
0000073381,No Aplica,Cristian Felipe Montilla Muñoz,"MONTILLA MUÑOZ, CRISTIAN FELIPE",Colombiana,No Aplica
0001339870,No Aplica,Cristian Orlando Estrella Viveros,"ESTRELLA VIVEROS, CRISTIAN ORLANDO",Colombiana,Masculino
0001522417,No Aplica,Dalia Riascos Forero,"RIASCOS FORERO, DALIA",Colombiana,Femenino
0001406332,No Aplica,David Esteban Bucheli FUENTES,"BUCHELI FUENTES, DAVID ESTEBAN",Colombiana,Masculino
0000332712,Investigador Junior ,Deycy Janeth SANCHEZ PRECIADO,"SANCHEZ PRECIADO, DEYCY JANETH",Colombiana,Femenino
0001822589,No Aplica,EDGAR FERNANDO AYALA QUITIAQUEZ,FERNANDO AYALA,Colombiana,Masculino
0000192848,No Aplica,Enrique Peña Forero,"FORERO, ENRIQUE PEÑA",Colombiana,Masculino
0001519402,No Aplica,fernando andres guerrero florez,"GUERRERO FLOREZ, FERNANDO ANDRES",Colombiana,Masculino
0001492802,No Aplica,Gabriela Gómez Valencia,"GÓMEZ VALENCIA, GABRIELA",Colombiana,Femenino
0000195600,No Aplica,GUILLERMO ENRIQUE SANTACRUZ RUIZ,"SANTACRUZ RUIZ, GUILLERMO ENRIQUE",Colombiana,Masculino
0000047347,No Aplica,Ingrid Daniela Peña Hoyos,"PEÑA HOYOS, INGRID DANIELA",Colombiana,Femenino
0000738433,Investigador Asociado ,Isabel Cristina Rivera Lozada,"RIVERA LOZADA, ISABEL CRISTINA",Colombiana,Femenino
0001385522,No Aplica,Ivan Dario Tobar Quitiaquez,"TOBAR QUITIAQUEZ, IVAN DARIO",Colombiana,Masculino
0001384518,No Aplica,Javier Arturo Arteaga Pasos,"ARTEAGA PASOS, JAVIER ARTURO",Colombiana,Masculino
0001485477,No Aplica,Jhonnathan Alexander Zambrano Hurtado,"ZAMBRANO HURTADO, JHONNATHAN ALEXANDER",Colombiana,Masculino
0000692921,No Aplica,Jonathan mosquera -,MOSQUERA ;Jhonathan.,Colombiana,Masculino
0001492511,No Aplica,Jorge Enrique Barrera Moreno,"BARRERA MORENO, JORGE ENRIQUE",Colombiana,Masculino
0000315168,No Aplica,Jorge Rocxo Martinez Díaz,"MARTINEZ DÍAZ, JORGE ROCXO",Colombiana,Masculino
0001399004,No Aplica,José Gabriel Astaiza Gómez,"ASTAIZA GÓMEZ, JOSÉ GABRIEL",Colombiana,Masculino
0001523989,No Aplica,José Luis Collo Velasco,"Collo Aguilar, José Luis",Colombiana,Masculino
0000228630,No Aplica,José Tomás Jaramillo Salazar,"JARAMILLO SALAZAR, JOSÉ TOMÁS",Colombiana,Masculino
0001432329,No Aplica,JUAN JOSE CAICEDO COLLAZOS,"CAICEDO COLLAZOS, JUAN JOSE",Colombiana,Masculino
0001409555,Investigador Junior ,KELLY GIOVANNA MUÑOZ BALCÁZAR,"MUÑOZ BALCÁZAR, KELLY GIOVANNA",Colombiana,Femenino
0001520532,No Aplica,Leider Eliecer Chate Tumbo,"Chate Tumbo, Leider Eliecer",Colombiana,Masculino
0001474779,Investigador Junior ,Lina Juliana Robayo Coral,"ROBAYO CORAL, LINA JULIANA",Colombiana,Femenino
0000808539,No Aplica,Miguel LOPEZ CALLE,"CALLE, M. F. L.",Colombiana,Masculino
0000520748,No Aplica,Mónica María Sinisterra Rodríguez,"SINISTERRA RODRÍGUEZ, MÓNICA MARÍA",Colombiana,Femenino
0000268453,Investigador Junior ,Olga Lucía Cadena Durán,"CADENA DURÁN, OLGA LUCÍA",Colombiana,Femenino
0000588547,Investigador Asociado ,OSCAR ANDRES LOPEZ CORTES,"LOPEZ CORTES, OSCAR ANDRES",Colombiana,Masculino
0000040012,No Aplica,Pablo Alexander Galvis Pérez,"GALVIS PÉREZ, PABLO ALEXANDER",Colombiana,No Aplica
0001631512,No Aplica,PAULA ANDREA MENESES MEDINA,"MENESES MEDINA, PAULA ANDREA",Colombiana,Femenino
0000740969,No Aplica,Reinaldo Erazo Rodriguez,"ERAZO RODRIGUEZ, REINALDO",Colombiana,Masculino
0000700789,Investigador Junior ,Ronald Alejandro Macuacé Otero,"MACUACÉ OTERO, RONALD ALEJANDRO",Colombiana,Masculino
0001491883,No Aplica,Rubén Dario Molina Omen,"MOLINA OMEN, RUBÉN DARIO",Colombiana,Masculino
0000329916,No Aplica,TULIO ANDRÉS CLAVIJO GALLEGO,"CLAVIJO GALLEGO, TULIO ANDRÉS",Colombiana,Masculino
0001162721,No Aplica,VICKY MABEL DELGADO ZAMBRANO,"DELGADO ZAMBRANO, VICKY MABEL",Colombiana,Femenino
0000769037,No Aplica,Victoria CORTES VELASCO,"VELASCO, V. E. C.",Colombiana,Femenino
0001522397,No Aplica,Willian Jairo Mavisoy Muchavisoy,"MAVISOY MUCHAVISOY, WILLIAN JAIRO",Colombiana,Masculino
0001389538,Investigador Junior ,Wilson Noe Garces Aguilar,"GARCES AGUILAR, WILSON NOE",Colombiana,Masculino
0000482390,No Aplica,Yenni Angélica Conde Cardona,"CONDE CARDONA, YENNI ANGÉLICA",Colombiana,Femenino
0001519574,No Aplica,Yenny Alexandra Molina Trujillo,"MOLINA TRUJILLO , YENNY ALEXANDRA",Colombiana,Femenino
0001466598,No Aplica,Yira Carmiña Lazala-Silva Hernández,"LAZALA SILVA HERNANDEZ, YIRA CARMINA",Colombiana,Femenino
0001358471,No Aplica,Zamanda Correa Correa,"CORREA CORREA, ZAMANDA",Colombiana,Femenino
0000594881,No Aplica,Alejandra MILLER RESTREPO,"MILLER RESTREPO, ALEJANDRA",Colombiana,Femenino
0000322741,Investigador Junior ,Luis Reinel Vásquez Arteaga,"VÁSQUEZ ARTEAGA, LUIS REINEL",Colombiana,Masculino
