idcvlac,autores,nombre,lugar,verificado,fecha,editorial,isbn,volumen,paginas,palabras,areas,sectores,capitulo,libro
0000012726,"OLGA LUCIA SANABRIA DIAGO, ERNESTO HERNANDEZ, ESPINOSA MYRIAM AMPARO",Sistemas Sociales y Agroecosistemas,Material de apoyo tercer semestre Licenciatura en etnoeducación,False,1995,Talleres de impresión de la Universidad del Cauca,Talleres de impresión de la Universidad del Cauca,,1 - 55,Agroecosistemas;Agricultura,"Ciencias Naturales;Ciencias Biológicas;Botánica y Ciencias de las Plantas, Ciencias Sociales;Ciencias de la Educación;Educación General (Incluye Capacitación, Pedagogía), Ciencias Sociales;Sociología;Antropología","Agricultura, pecuaria, silvicultura, explotación forestal",Sistemas Sociales y Agroecosistemas,Material de apoyo tercer semestre Licenciatura en etnoeducación
0000012726,OLGA LUCIA SANABRIA DIAGO,INVESTIGACION PARTICIPANTE: ACCIONES ETNOEDUCATIVAS DE RETROALIMENTACION ENTRE DISTINTOS SABERES,PEDAGOGIA DE LA HUMANIZACIÓN VIOLENCIA INTRAFAMILIAR,False,2013,Tipografia Cruz,Tipografia Cruz,,2 - 20,No Aplica,Ciencias Naturales;Ciencias Biológicas;Conservación de la biodiversidad,No Aplica,INVESTIGACION PARTICIPANTE: ACCIONES ETNOEDUCATIVAS DE RETROALIMENTACION ENTRE DISTINTOS SABERES,PEDAGOGIA DE LA HUMANIZACIÓN VIOLENCIA INTRAFAMILIAR
0000012726,"OLGA LUCIA SANABRIA DIAGO, ESPINOZA MYRIAM AMPARO",Uso y manejo de los recursos vegetales en :IV material de apoyo para la licenciatura en etnoeducación,IV Material de apoyo licenciatura en Etnoeducación para la licenciatura en etnoeducación,False,1996,Talleres de Impresión la Universidad el Cauca,Talleres de Impresión la Universidad el Cauca,una,1 - 46,Recursos Vegetales;Uso y manejo vegetal,"Ciencias Naturales;Ciencias Biológicas;Botánica y Ciencias de las Plantas, Ciencias Sociales;Ciencias de la Educación;Educación General (Incluye Capacitación, Pedagogía), Ciencias Naturales;Ciencias Biológicas;Ecología","Educación, Agricultura, pecuaria, silvicultura, explotación forestal",Uso y manejo de los recursos vegetales en :IV material de apoyo para la licenciatura en etnoeducación,IV Material de apoyo licenciatura en Etnoeducación para la licenciatura en etnoeducación
0000012726,OLGA LUCIA SANABRIA DIAGO,El papel de la etnobotanica en la educacion indigena: una experiencia metodologica participativa,Las plantas y el hombre,False,1991,Montserrat Rios y Henrik Borgtoft Pedersen,Montserrat Rios y Henrik Borgtoft Pedersen,,iii - 437,No Aplica,"Ciencias Sociales;Ciencias de la Educación;Educación General (Incluye Capacitación, Pedagogía), Ciencias Naturales;Ciencias Biológicas;Botánica y Ciencias de las Plantas",Educación,El papel de la etnobotanica en la educacion indigena: una experiencia metodologica participativa,Las plantas y el hombre
0000012726,OLGA LUCIA SANABRIA DIAGO,EL PAPEL DE LA ETNOBOTANCA EN LA EDUCACION INDIGENA UNA EXPERIENCIA METODOLOGICA PARTICIPATIVA,Las plantas y el hombre,False,1998,Montserrat Rios y Henrik Borgtoft Pedersen,Montserrat Rios y Henrik Borgtoft Pedersen,,5 - 10,No Aplica,No Aplica,No Aplica,EL PAPEL DE LA ETNOBOTANCA EN LA EDUCACION INDIGENA UNA EXPERIENCIA METODOLOGICA PARTICIPATIVA,Las plantas y el hombre
0000012726,OLGA LUCIA SANABRIA DIAGO,"Desafios para el manejo y la conservacion de la flora util del Cauca, desde las perspectivas de las comunidades indigenas y campesinas",Manual de Herramietas Etnobotanicas Relativas a la conservación y el uso sostenible de los recursos vegetales,False,2011,RED LATINOAMERICANA DE BOTANICA,RED LATINOAMERICANA DE BOTANICA,,5 - 132,Etnobotánica;Etnobotanica en Colombia;ESTRATEGIA GLOBAL DE CONSERVACION DE PLANTAS ;comunidades indígenas;suroccidente colombiano;Plantas Comestibles;Comunidades locales campesinas e indigenas;Pacífico Colombiano;productos forestales no maderables,Ciencias Naturales;Ciencias Biológicas;Botánica y Ciencias de las Plantas,No Aplica,"Desafios para el manejo y la conservacion de la flora util del Cauca, desde las perspectivas de las comunidades indigenas y campesinas",Manual de Herramietas Etnobotanicas Relativas a la conservación y el uso sostenible de los recursos vegetales
0000012726,OLGA LUCIA SANABRIA DIAGO,La etnobotánica y su contribución a la conservación de los recursos naturales y el conocimiento tradicional,Manual de Herramietas Etnobotanicas Relativas a la conservación y el uso sostenible de los recursos vegetales,False,2011,RED LATINOAMERICANA DE BOTANICA,RED LATINOAMERICANA DE BOTANICA,,9 - 134,America Latina;Comunidades locales campesinas e indigenas;Conservación;Desarrollo local;Diversidad;ESTRATEGIA GLOBAL DE CONSERVACION DE PLANTAS ;Manejo Vegetal;Recursos Vegetales;Recuperación,Ciencias Naturales;Ciencias Biológicas;Botánica y Ciencias de las Plantas,No Aplica,La etnobotánica y su contribución a la conservación de los recursos naturales y el conocimiento tradicional,Manual de Herramietas Etnobotanicas Relativas a la conservación y el uso sostenible de los recursos vegetales
0000012726,OLGA LUCIA SANABRIA DIAGO,La etnobotánica y su contribución a la conservación de los recursos naturales y el conocimiento tradicional,Manual de Herramietas Etnobotanicas Relativas a la conservación y el uso sostenible de los recursos vegetales,False,2011,RED LATINOAMERICANA DE BOTANICA,RED LATINOAMERICANA DE BOTANICA,,37 - 58,No Aplica,No Aplica,No Aplica,La etnobotánica y su contribución a la conservación de los recursos naturales y el conocimiento tradicional,Manual de Herramietas Etnobotanicas Relativas a la conservación y el uso sostenible de los recursos vegetales
0000012726,OLGA LUCIA SANABRIA DIAGO,"Desafíos para el Manejo y Conservación de la Flora Útil del Cauca, Colombia, desde la Perspectiva de las Comunidades Indígenas y Campesinas",Manual de Herramietas Etnobotanicas Relativas a la conservación y el uso sostenible de los recursos vegetales,False,2011,RED LATINOAMERICANA DE BOTANICA,RED LATINOAMERICANA DE BOTANICA,,76 - 94,No Aplica,No Aplica,No Aplica,"Desafíos para el Manejo y Conservación de la Flora Útil del Cauca, Colombia, desde la Perspectiva de las Comunidades Indígenas y Campesinas",Manual de Herramietas Etnobotanicas Relativas a la conservación y el uso sostenible de los recursos vegetales
0000012726,OLGA LUCIA SANABRIA DIAGO,"Desafíos para el Manejo y Conservación de la Flora Útil del Cauca, Colombia, desde la Perspectiva de las Comunidades Indígenas y Campesinas",Manual de Herramietas Etnobotanicas Relativas a la conservación y el uso sostenible de los recursos vegetales,False,2011,RED LATINOAMERICANA DE BOTANICA,RED LATINOAMERICANA DE BOTANICA,,76 - 94,No Aplica,Ciencias Naturales;Ciencias Biológicas;Conservación de la biodiversidad,No Aplica,"Desafíos para el Manejo y Conservación de la Flora Útil del Cauca, Colombia, desde la Perspectiva de las Comunidades Indígenas y Campesinas",Manual de Herramietas Etnobotanicas Relativas a la conservación y el uso sostenible de los recursos vegetales
0000012726,OLGA LUCIA SANABRIA DIAGO,Etnoeducación y construccion curricular sobre Naturaleza y Territorio con el pueblo Eperara Siapidara de los departamentos del Cauca y Nariño Pacifico surcolombiano,"Valoración Del Conocimiento, Uso, Manejo Y Prácticas De Conservación De La Diversidad De Recursos Forestales No Maderables En Diferentes Ambientes Socioculturales De La Region Del Pacífico Colombiano",True,2013,Universidad De Narino,Universidad De Narino,,79 - 87,No Aplica,No Aplica,No Aplica,Etnoeducación y construccion curricular sobre Naturaleza y Territorio con el pueblo Eperara Siapidara de los departamentos del Cauca y Nariño Pacifico surcolombiano,"Valoración Del Conocimiento, Uso, Manejo Y Prácticas De Conservación De La Diversidad De Recursos Forestales No Maderables En Diferentes Ambientes Socioculturales De La Region Del Pacífico Colombiano"
0000012726,OLGA LUCIA SANABRIA DIAGO,Un marco Referencial para la sustentabilidad biologica del Pacifico Colombiano,"Valoración Del Conocimiento, Uso, Manejo Y Prácticas De Conservación De La Diversidad De Recursos Forestales No Maderables En Diferentes Ambientes Socioculturales De La Region Del Pacífico Colombiano",True,2013,Universidad De Narino,Universidad De Narino,,11 - 27,No Aplica,No Aplica,No Aplica,Un marco Referencial para la sustentabilidad biologica del Pacifico Colombiano,"Valoración Del Conocimiento, Uso, Manejo Y Prácticas De Conservación De La Diversidad De Recursos Forestales No Maderables En Diferentes Ambientes Socioculturales De La Region Del Pacífico Colombiano"
0000012726,"OLGA LUCIA SANABRIA DIAGO, ERNESTO HERNANDEZ",Etnoeducación y construccion curricular sobre Naturaleza y Territorio con el pueblo Eperara Siapidara de los departamentos del Cauca y Nariño Pacifico surcolombiano,"Valoración Del Conocimiento, Uso, Manejo Y Prácticas De Conservación De La Diversidad De Recursos Forestales No Maderables En Diferentes Ambientes Socioculturales De La Region Del Pacífico Colombiano",True,2013,Universidad De Narino,Universidad De Narino,,79 - 87,No Aplica,Ciencias Naturales;Ciencias Biológicas;Conservación de la biodiversidad,No Aplica,Etnoeducación y construccion curricular sobre Naturaleza y Territorio con el pueblo Eperara Siapidara de los departamentos del Cauca y Nariño Pacifico surcolombiano,"Valoración Del Conocimiento, Uso, Manejo Y Prácticas De Conservación De La Diversidad De Recursos Forestales No Maderables En Diferentes Ambientes Socioculturales De La Region Del Pacífico Colombiano"
0000012726,OLGA LUCIA SANABRIA DIAGO,TACHI EUJA: Cosmovision Sia para la conservacion de la selva del Pacifico Colombiano,"Valoración Del Conocimiento, Uso, Manejo Y Prácticas De Conservación De La Diversidad De Recursos Forestales No Maderables En Diferentes Ambientes Socioculturales De La Region Del Pacífico Colombiano",True,2013,Universidad De Narino,Universidad De Narino,,33 - 45,Comundades indigenas;Comunidades locales campesinas e indigenas;Comunidades negras;Conservación;Cosmovisión Indígena;Cosmovisión vegetal;Maestros Indígenas;Investigación;Multicultural;IDALOGO DE SABERES;Prácticas Medicas Tradicionales;Recursos Vegetales;Reserva Natural;Vegetación;suroccidente colombiano;territorio;productos forestales no maderables;Etnoeducación;Etnociencia;Agroecosistemas;etnobiologia,Ciencias Naturales;Ciencias Biológicas;Conservación de la biodiversidad,"Desarrollo rural, Fabricación de productos textiles, celulosa, papel y productos de papel",TACHI EUJA: Cosmovision Sia para la conservacion de la selva del Pacifico Colombiano,"Valoración Del Conocimiento, Uso, Manejo Y Prácticas De Conservación De La Diversidad De Recursos Forestales No Maderables En Diferentes Ambientes Socioculturales De La Region Del Pacífico Colombiano"
0000012726,"OLGA LUCIA SANABRIA DIAGO, ERNESTO HERNANDEZ",Etnoeducación y construccion curricular sobre Naturaleza y Territorio con el pueblo Eperara Siapidara de los departamentos del Cauca y Nariño Pacifico surcolombiano,"Valoración Del Conocimiento, Uso, Manejo Y Prácticas De Conservación De La Diversidad De Recursos Forestales No Maderables En Diferentes Ambientes Socioculturales De La Region Del Pacífico Colombiano",True,2013,Universidad De Narino,Universidad De Narino,,79 - 87,No Aplica,No Aplica,No Aplica,Etnoeducación y construccion curricular sobre Naturaleza y Territorio con el pueblo Eperara Siapidara de los departamentos del Cauca y Nariño Pacifico surcolombiano,"Valoración Del Conocimiento, Uso, Manejo Y Prácticas De Conservación De La Diversidad De Recursos Forestales No Maderables En Diferentes Ambientes Socioculturales De La Region Del Pacífico Colombiano"
0000012726,"OLGA LUCIA SANABRIA DIAGO, ABIGAIL AGUILAR CONTRERAS, ARTURO ARGUETA, CRISTINA MAPES","Miguel Angel Martinez Alfaro: retrato, vivencias y sus aportes en Colombia",Miguel Angel Martinez Alfaro Y La Etnobotanica Mexicana Del Silgo Xx,True,2009,Ediciones Unam,Ediciones Unam,,7 - 186,Colombia;Departamento de Cauca;Etnobotánica;Etnociencia;Mexico;Tierradentro - Cauca;metodología;Homenaje,"Ciencias Naturales;Ciencias Biológicas;Botánica y Ciencias de las Plantas, Ciencias Agrícolas;Agricultura, Silvicultura y Pesca;Agronomía","Agricultura, pecuaria, silvicultura, explotación forestal","Miguel Angel Martinez Alfaro: retrato, vivencias y sus aportes en Colombia",Miguel Angel Martinez Alfaro Y La Etnobotanica Mexicana Del Silgo Xx
0000012726,OLGA LUCIA SANABRIA DIAGO,"CONOCIMIENTO, USO Y MANEJO TRADICIONAL DE LOS VEGETALES FACTORES DE CONSERVACION DE LA BIODIVERSIDAD CASO PAEZ",I Congreso Nacional Sobre Biodiversidad,False,1994,Universidad Del Valle Instituto De Estudios Del Pacifico,Universidad Del Valle Instituto De Estudios Del Pacifico,,V - 567,Agricultura Tradicional del Maíz;Botánica;Cultivos Andinos;Doctorado;Diversidad;Pueblo Páez;Tierradentro - Cauca;Uso y manejo vegetal;territorio,Ciencias Naturales;Ciencias Biológicas;Botánica y Ciencias de las Plantas,"Agricultura, pecuaria, silvicultura, explotación forestal","CONOCIMIENTO, USO Y MANEJO TRADICIONAL DE LOS VEGETALES FACTORES DE CONSERVACION DE LA BIODIVERSIDAD CASO PAEZ",I Congreso Nacional Sobre Biodiversidad
0000012726,OLGA LUCIA SANABRIA DIAGO,Metodologias dialogicas para el fortalecimiento etnoeducativo y la conservación ambiental entre pueblos caucanos en procesos de resistencia,EL DIALOGO DE SABERES en los Estados Plurinacionales,False,2013,SECRETARIA DE EDUCACION CIENCIA TECNOLOGIA E INNOVACION ECUADOR,SECRETARIA DE EDUCACION CIENCIA TECNOLOGIA E INNOVACION ECUADOR,,85 - 92 1,BIOCULTURA;Comundades indigenas;Departamento de Cauca;Desarrollo local;encuentro de experiencias;territorio,No Aplica,No Aplica,Metodologias dialogicas para el fortalecimiento etnoeducativo y la conservación ambiental entre pueblos caucanos en procesos de resistencia,EL DIALOGO DE SABERES en los Estados Plurinacionales
0000012726,OLGA LUCIA SANABRIA DIAGO,INVESTIGACION PARTICIPANTE: ACCIONES ETNOEDUCATIVAS DE RETROALIMENTACION ENTRE DISTINTOS SABERES,A Etnobiologia Na Educação Ibero-Americana Compreensão Holística E Pluricultural Da Biologia .,True,2014,UFS Editora,UFS Editora,,257 - 285,No Aplica,No Aplica,No Aplica,Investigación participante: acciones etnoeducativas de retroalimentaciòn entre distintos saberes,A Etnobiologia Na Educação Ibero-Americana Compreensão Holística E Pluricultural Da Biologia .
0000012726,OLGA LUCIA SANABRIA DIAGO,INVESTIGACION PARTICIPANTE: ACCIONES ETNOEDUCATIVAS DE RETROALIMENTACION ENTRE DISTINTOS SABERES,A Etnobiologia Na Educação Ibero-Americana Compreensão Holística E Pluricultural Da Biologia .,True,2014,UFS Editora,UFS Editora,,257 - 286,BIOCULTURA;Centros educativos;Cirriculum;Comundades indigenas;Etnoeducación,"Ciencias Sociales;Ciencias de la Educación;Educación General (Incluye Capacitación, Pedagogía)",Educación,INVESTIGACION PARTICIPANTE: ACCIONES ETNOEDUCATIVAS DE RETROALIMENTACION ENTRE DISTINTOS SABERES,A Etnobiologia Na Educação Ibero-Americana Compreensão Holística E Pluricultural Da Biologia .
0000012726,OLGA LUCIA SANABRIA DIAGO,"PLANTAS SAGRADAS DEL SISTEMA MÉDICO TRADICIONAL EN TIERRADENTRO, CAUCA, COLOMBIA","Ecologia espiritual: integrando natureza, humanidades e espiritualidades",False,2022,ATENA,ATENA,,189 - 213,No Aplica,Ciencias Naturales;Otras Ciencias Naturales;Otras Ciencias Naturales,No Aplica,"PLANTAS SAGRADAS DEL SISTEMA MÉDICO TRADICIONAL EN TIERRADENTRO, CAUCA, COLOMBIA","Ecologia espiritual: integrando natureza, humanidades e espiritualidades"
0001442647,ABIGAIL AGUILAR CONTRERAS,"Etnobotánica Médica de los Tepehuas de Hidalgo, México¿.",Sistemas biocognitivos tradicionales paradigmas en la conservación biológica y el fortalecimiento cultural.,False,2010,No Aplica,No Aplica,,6 - 291,No Aplica,No Aplica,No Aplica,"¿Etnobotánica Médica de los Tepehuas de Hidalgo, México¿",Sistemas biocognitivos tradicionales paradigmas en la conservación biológica y el fortalecimiento cultural.
0001442647,ABIGAIL AGUILAR CONTRERAS,"Etnobotánica Médica de los Tepehuas de Hidalgo, México¿.",Sistemas biocognitivos tradicionales paradigmas en la conservación biológica y el fortalecimiento cultural.,False,2010,No Aplica,No Aplica,,284 - 291,No Aplica,No Aplica,No Aplica,"Etnobotánica Médica de los Tepehuas de Hidalgo, México¿.",Sistemas biocognitivos tradicionales paradigmas en la conservación biológica y el fortalecimiento cultural.
0001442647,ABIGAIL AGUILAR CONTRERAS,"Etnobotánica Médica de los Tepehuas de Hidalgo, México¿.",Sistemas biocognitivos tradicionales paradigmas en la conservación biológica y el fortalecimiento cultural.,False,2010,No Aplica,No Aplica,,284 - 291,No Aplica,"Ciencias Sociales;Otras Ciencias Sociales;Ciencias Sociales, Interdisciplinaria",No Aplica,"Etnobotánica Médica de los Tepehuas de Hidalgo, México¿.",Sistemas biocognitivos tradicionales paradigmas en la conservación biológica y el fortalecimiento cultural.
0001442647,ABIGAIL AGUILAR CONTRERAS,Etnobotánica urbana de los productos vegetales adelgazantes comercializados en México D.F,BLACPMA,False,2012,BLACPMA,BLACPMA,,400 - 412,No Aplica,No Aplica,No Aplica,Etnobotánica urbana de los productos vegetales adelgazantes comercializados en México D.F,BLACPMA
0001442647,ABIGAIL AGUILAR CONTRERAS,Los tratamientos populares y el personal de salud: relevancia de la Herbolaria,Yachay Tinkuy. Salud interculturalidad en Bolivia y América Latina,False,2009,No Aplica,No Aplica,,8 - 172,No Aplica,No Aplica,No Aplica,Los tratamientos populares y el personal de salud: relevancia de la Herbolaria,Yachay Tinkuy. Salud interculturalidad en Bolivia y América Latina
0001442647,ABIGAIL AGUILAR CONTRERAS,Flora útil,La diversidad biológica del estado de México,False,2009,Gobierno del Estado de México,Gobierno del Estado de México,,8 - 120,No Aplica,No Aplica,No Aplica,Flora útil,La diversidad biológica del estado de México
0001442647,ABIGAIL AGUILAR CONTRERAS,Biodiversidad y seguridad alimentaria en el norte de Puebla.,Seguridad alimentaria en puebla: prioridad para el desarrollo.,False,2008,No Aplica,No Aplica,,4 - 270,No Aplica,No Aplica,No Aplica,Biodiversidad y seguridad alimentaria en el norte de Puebla.,Seguridad alimentaria en puebla: prioridad para el desarrollo.
0001442647,ABIGAIL AGUILAR CONTRERAS,Estado y tendencias de los Servicios Ecosistémicos,Capital natural y Bienestar Social: Segundo Estudio de,False,2009,No Aplica,No Aplica,,6 - 239,No Aplica,No Aplica,No Aplica,Estado y tendencias de los Servicios Ecosistémicos,Capital natural y Bienestar Social: Segundo Estudio de
0001442647,ABIGAIL AGUILAR CONTRERAS,Plantas tóxicas,Cuidados Intensivos en el paciente intoxicado. Tópicos innovadores en Medicina Critica,False,2011,Editorial Prado,Editorial Prado,,339 - 345,No Aplica,Ciencias Médicas y de la Salud;Medicina Básica;Toxicología,No Aplica,Plantas tóxicas,Cuidados Intensivos en el paciente intoxicado. Tópicos innovadores en Medicina Critica
0001442647,ABIGAIL AGUILAR CONTRERAS,Uso y conocimiento de plantas medicinales por hombres y mujeres en dos localidades indígenas en Coyomeapan,Uso y conocimiento de plantas medicinales por hombres y mujeres en dos localidades indígenas en Coyomeapan,False,2011,INTERCIENCIA,INTERCIENCIA,,493 - 499,No Aplica,No Aplica,No Aplica,Uso y conocimiento de plantas medicinales por hombres y mujeres en dos localidades indígenas en Coyomeapan,Uso y conocimiento de plantas medicinales por hombres y mujeres en dos localidades indígenas en Coyomeapan
0001442647,ABIGAIL AGUILAR CONTRERAS,"Etnobotánica, micrografía analítica de hojas y tallos y fitoquimica de Cuphea aequipetala Cav. (Lythraceae): una contribución a la Farmacopea Herbolaria de los Estados Unidos Mexicanos (FHEUM",Bol. Latinoam. Caribe Plant Med Aromat,False,2012,Bol. Latinoam. Caribe Plant Med Aromat,Bol. Latinoam. Caribe Plant Med Aromat,,316 - 330,No Aplica,No Aplica,No Aplica,"Etnobotánica, micrografía analítica de hojas y tallos y fitoquimica de Cuphea aequipetala Cav. (Lythraceae): una contribución a la Farmacopea Herbolaria de los Estados Unidos Mexicanos (FHEUM",Bol. Latinoam. Caribe Plant Med Aromat
0001442647,ABIGAIL AGUILAR CONTRERAS,"El ¿susto¿ : ¿Síndrome culturalmente específico¿ en contextos pluriculturales, algunas consideraciones sobre su etiología y terapéutica en México y Argentina",Tradiciones& transformaciones en Etnobotánica,False,2012,Programa Iberoamericano Ciencia y Tecnología para el Desarrollo-RISAPRET,Programa Iberoamericano Ciencia y Tecnología para el Desarrollo-RISAPRET,,523 - 530,No Aplica,No Aplica,No Aplica,"El ¿susto¿ : ¿Síndrome culturalmente específico¿ en contextos pluriculturales, algunas consideraciones sobre su etiología y terapéutica en México y Argentina",Tradiciones& transformaciones en Etnobotánica
0000311740,ALEJANDRA GONZALEZ ACEVEDO,Metodología para abordar la sustentabilidad de los policultivos cafeteros desde la perspectiva de la economía ecológica,"Sociedad Y Servicios Ecosistémicos. Perspectivas Desde La Minería, Los Megaproyectos Y La Educación Ambiental",True,2013,Programa Editorial De La Universidad Del Valle,Programa Editorial De La Universidad Del Valle,,340 - 361,No Aplica,No Aplica,"Desarrollo rural, Productos y servicios para la defensa y protección del medio ambiente, incluyendo el desarrollo sostenible., Agricultura, pecuaria, silvicultura, explotación forestal",Metodología para abordar la sustentabilidad de los policultivos cafeteros desde la perspectiva de la economía ecológica,"Sociedad Y Servicios Ecosistémicos. Perspectivas Desde La Minería, Los Megaproyectos Y La Educación Ambiental"
0000037938,ALEXIS DE BERMUDEZ BERMUMEZ,Violence against environment: women taking action,"Women, War And Violence. Topography, Resistance And Hope.",False,2015,ABC-CLIO,ABC-CLIO,,663 - 677,No Aplica,No Aplica,No Aplica,Violence against environment: women taking action,"Women, War And Violence. Topography, Resistance And Hope."
0000037938,ALEXIS DE BERMUDEZ BERMUMEZ,Evaluación del estado de conservación del frailejón morado (Oritrophium peruvianum) en los páramos andinos venezolanos,Una Mano A La Naturaleza: Conservando Las Especies Amenazadas Venezolana,False,2009,PROVITA/SHELL,PROVITA/SHELL,,70 - 71,No Aplica,No Aplica,No Aplica,Evaluación del estado de conservación del frailejón morado (Oritrophium peruvianum) en los páramos andinos venezolanos,Una Mano A La Naturaleza: Conservando Las Especies Amenazadas Venezolana
0000037938,ALEXIS DE BERMUDEZ BERMUMEZ,Miniguía de plantas medicinales amenazadas en la región andina venezolana,Una Mano A La Naturaleza: Conservando Las Especies Amenazadas Venezolana,False,2009,PROVITA/SHELL,PROVITA/SHELL,,68 - 69,No Aplica,No Aplica,No Aplica,Miniguía de plantas medicinales amenazadas en la región andina venezolana,Una Mano A La Naturaleza: Conservando Las Especies Amenazadas Venezolana
0000037938,ALEXIS DE BERMUDEZ BERMUMEZ,"Desarrollo de un vivero comunitario de Cedrela odorata y Cordia Thaisiana, con fines de reforestación en Calderas, estado de Barinas",Una Mano A La Naturaleza: Conservando Las Especies Amenazadas Venezolana,False,2009,PROVITA/SHELL,PROVITA/SHELL,,81 - 82,No Aplica,No Aplica,No Aplica,"Desarrollo de un vivero comunitario de Cedrela odorata y Cordia Thaisiana, con fines de reforestación en Calderas, estado de Barinas",Una Mano A La Naturaleza: Conservando Las Especies Amenazadas Venezolana
0001612892,ARTURO ARGUETA VILLAMAR,"Los jóvenes panaleros de Cherán k¿eri, las uauapu y la captura ceremonial de la miel",Construyendo Interculturalidad En Veracruz,False,2014,Universidad Veracruzana,Universidad Veracruzana,,99 - 130,No Aplica,No Aplica,No Aplica,"Los jóvenes panaleros de Cherán k¿eri, las uauapu y la captura ceremonial de la miel",Construyendo Interculturalidad En Veracruz
0001612892,ARTURO ARGUETA VILLAMAR,Los Estudios Interculturales ante el Diálogo de Saberes,"Construyendo Interculturalidad En Veracruz. Miradas, Experiencias Y Retos",False,2013,Universidad Veracruzana,Universidad Veracruzana,,39 - 54,No Aplica,No Aplica,No Aplica,Los Estudios Interculturales ante el Diálogo de Saberes,"Construyendo Interculturalidad En Veracruz. Miradas, Experiencias Y Retos"
0001612892,ARTURO ARGUETA VILLAMAR,Conocimientos tradicionales y diálogo de saberes para Vivir Bien,EL DIALOGO DE SABERES en los Estados Plurinacionales,False,2013,SENESCYT,SENESCYT,,63 - 83,No Aplica,No Aplica,No Aplica,Conocimientos tradicionales y diálogo de saberes para Vivir Bien,El Diálogo de saberes en los Estados Plurinacionales
0001612892,ARTURO ARGUETA VILLAMAR,El estatus de los conocimientos locales en la educación superior intercultural¿,"Experiencias Y Resultados De Programas De Acción Afirmativa Con Estudiantes Indígenas De Educación Superior En México, Perú, Colombia Y Brasil.",False,2012,ANUIES,ANUIES,,15 - 38,No Aplica,No Aplica,No Aplica,El estatus de los conocimientos locales en la educación superior intercultural¿,"Experiencias Y Resultados De Programas De Acción Afirmativa Con Estudiantes Indígenas De Educación Superior En México, Perú, Colombia Y Brasil."
0001612892,ARTURO ARGUETA VILLAMAR,El estatus de los conocimientos locales en la educación superior intercultural¿,"Experiencias Y Resultados De Programas De Acción Afirmativa Con Estudiantes Indígenas De Educación Superior En México, Perú, Colombia Y Brasil.",False,2013,ANUIES,ANUIES,,15 - 38,No Aplica,No Aplica,No Aplica,El estatus de los conocimientos locales en la educación superior intercultural,"Experiencias Y Resultados De Programas De Acción Afirmativa Con Estudiantes Indígenas De Educación Superior En México, Perú, Colombia Y Brasil."
0001612892,ARTURO ARGUETA VILLAMAR,La medicina tradicional indígena de México: el largo camino para su legalización y reconocimiento,"Conocimiento Tradicional, Innovación Y Reapropiación Social",False,2012,Siglo Xxi Editores,Siglo Xxi Editores,,209 - 254,No Aplica,No Aplica,No Aplica,La medicina tradicional indígena de México: el largo camino para su legalización y reconocimiento,"Conocimiento Tradicional, Innovación Y Reapropiación Social"
0000468304,"CAROLINA FEUILLET HURTADO, ALBA MARINA TORRES, ANA CRISTINA BOLANOS, JUAN FELIPE ORTEGA","Plantas y animales de las comunidades de Guaimía y Joaquincito (Buenaventura, Valle del Cauca). Usos y estado de conservación","Valoración Del Conocimiento, Uso, Manejo Y Prácticas De Conservación De La Diversidad De Recursos Forestales No Maderables En Diferentes Ambientes Socioculturales De La Region Del Pacífico Colombiano",False,2013,Universidad De Narino,Universidad De Narino,,169 - 206 1,Pacífico;Valle del Cauca;PFNM;Etnobotánica,Ciencias Naturales;Ciencias Biológicas;Botánica y Ciencias de las Plantas,No Aplica,"Plantas y animales de las comunidades de Guaimía y Joaquincito (Buenaventura, Valle del Cauca). Usos y estado de conservación","Valoración Del Conocimiento, Uso, Manejo Y Prácticas De Conservación De La Diversidad De Recursos Forestales No Maderables En Diferentes Ambientes Socioculturales De La Region Del Pacífico Colombiano"
0000468304,"CAROLINA FEUILLET HURTADO, ANA CRISTINA BOLANOS","Las palmas: recurso multipropósito para las comunidades de Joaquincito y Guaimía, Pacífico vallecaucano","Valoración Del Conocimiento, Uso, Manejo Y Prácticas De Conservación De La Diversidad De Recursos Forestales No Maderables En Diferentes Ambientes Socioculturales De La Region Del Pacífico Colombiano",False,2013,Universidad De Narino,Universidad De Narino,,161 - 168 1,Etnobotánica;Plantas útiles;Pacífico;Valle del Cauca;PFNM,Ciencias Naturales;Ciencias Biológicas;Botánica y Ciencias de las Plantas,No Aplica,"Las palmas: recurso multipropósito para las comunidades de Joaquincito y Guaimía, Pacífico vallecaucano","Valoración Del Conocimiento, Uso, Manejo Y Prácticas De Conservación De La Diversidad De Recursos Forestales No Maderables En Diferentes Ambientes Socioculturales De La Region Del Pacífico Colombiano"
0000612529,CLAUDIO URBANO BITTENCOURT PINHEIRO,Babassu: a multi-purpose and pervasive palm,"Riches of the forest: Fruits, remedies and",False,2004,No Aplica,No Aplica,,17 - 20,remedios;Palms;frutos;Babassu;Sistemas de m anejo;Recursos forestales,Ciencias Naturales;Ciencias Biológicas;Botánica y Ciencias de las Plantas,No Aplica,Babassu: a multi-purpose and pervasive palm,"Riches of the forest: Fruits, remedies and"
