idgruplac,verificado,tipo,capitulo,lugar,fecha,libro,isbn,volumen,paginas,editorial,autores
00000000015873,True,Capítulo de libro,"Estudio longitudinal, permanencia y abandono en universitarios (2015-2018)",Panamá,2018,Memoria Octava Conferencia Latinoamericana sobre el abandono en la Educación Superior,978-956-303-372-4,,328 - 336,Universidad de Santiago de Chile,INGRID SELENE TORRES ROJAS
00000000011727,True,Capítulo de libro,"Las caras de la migración de los expoliados, encrucijadas rur-urbanas",México,2011,Identidad y migración en la formación y revalorización de los territorios rurales,978-607-477-662-1,,155 - 199,Universidad Autónoma Metropolitana,KELLY GIOVANNA MUNOZ BALCAZAR
00000000016547,True,Capítulo de libro,A influência da governança relacional nos resultados sociais de cooperativas de material reciclável,Colombia,2018,"Nuevas formas de organización y trabajo: Latinoamérica frente a los actuales desafíos económicos, sociales y medioambientales",978-956-398-413-2,,1371 - 1385,RED PILARES,LINA JULIANA ROBAYO CORAL
00000000011867,True,Capítulo de libro,La doble moral mediática lógicas de producción frente a la representación en la televisión regional,Colombia,2019,¿Podemos construir la paz?,978-958-5415-43-0,,121 - 146,Editorial Bonaventuriana,PIEDAD RUIZ ECHEVERRY
00000000011867,True,Capítulo de libro,La comunicación y la apropiación social del conocimiento,Colombia,2019,Innovación social y saberes en diálogo,978-958-732-351-1,,27 - 43,Editorial Universidad Del Cauca,OLGA PATRICIA SOLIS VALENCIA
00000000011867,True,Capítulo de libro,Las elecciones presidenciales de 2018 en el periodismo de Diario del Cauca y Extra Cauca,Colombia,2018,"Medios de comunicación, redes sociales y democracia",978-958-56874-6-2,,185 - 208,moe,"PIEDAD RUIZ ECHEVERRY, JOSE LUIS RENGIFO ROJAS"
00000000003625,True,Capítulo de libro,"DISEÑO DE UN PROGRAMA DE INTERPRETACIÓN DEL PATRIMONIO CULTURAL DE LA UNIVERSIDAD DEL CAUCA: PARA LA CASA MUSEO MOSQUERA, PANTEÓN DE LOS PRÓCERES Y PARANINFO FRANCISCO JOSÉ DE CALDAS",Colombia,2017,"Perspectivas de Ciencia, Tecnología e Innovación, C+T+I, y Desarrollo Territorial en Iberoamérica. La Transferencia de Conocimientos como Hilo Conductor de Soluciones del Desarrollo Endógeno Territorial",978-958-99823-4-1,,94 - 103,Corporación Universitaria Autónoma de Nariño,"LUZ STELLA PEMBERTHY GALLO, DEICY LORENA ANDRADE BOLANOS, MONICA IMBACHI HOYOS"
00000000016547,True,Capítulo de libro,Aproximaciones conceptuales al sufrimiento humano producido en el marco de la guerra en Colombia (Digital),Colombia,2020,Reflexiones sobre la violencia desde América Latina,978-958-5147-65-2,,203 - 222,Usc Universidad Santiago De Cali Editorial,"ALEXANDER LUNA NIETO, BERNARDO CORTES MARQUEZ, DAVID ANTONIO PEREZ NAVA, OMAR ALEJANDRO GOMEZ CARBAJAL, ANGELICA MARIA ALVAREZ MARIN, CLAUDIA LORENA BURBANO GARCIA, JESSICA VANESSA SANDOVAL ACEVEDO, MABEL CONCEPCION VALENCIA MOSQUERA, WILLIAN FREDY PALTA VELASCO"
00000000011867,True,Capítulo de libro,Decolonización de la comunicación,Bolivia,2018,Comunicacion y decolonialidad. Horizonte en Construccion,978-99974-0-151-9,,75 - 88,Asociación Boliviana de investigadores de la Comunicación,NELSON FREDY OSORIO ANDRADE
00000000016547,True,Capítulo de libro,"Estudio de la relación familia Norte Caucana y violencia en el Municipio de Puerto Tejada y Villa Rica (Departamento del Cauca, Colombia). A propósito de la crianza y el cuidado de la vida misma",España,2019,Helices y Anclas para el desarrollo Local,978-84-8163-601-7,,1338 - 1348,Consorcio Universidades Huelva-Cartagena de Indias,"WILSON NOE GARCES AGUILAR, LINA JULIANA ROBAYO CORAL"
00000000012288,True,Capítulo de libro,"El concepto levinasiano de sensibilidad: función gnoseológica, ambigüedad y proximidad",Colombia,2017,El humanismo del otro: la puesta en vilo de las humanidades,978-958-8928-50-0,,109 - 136,Editorial Bonaventuriana,JUAN CARLOS AGUIRRE GARCIA
00000000016547,True,Capítulo de libro,dicotomías nacionalistas y exilio en algunos cuentas de Julio Cortazar-e,Colombia,2018,comunidades epistemologicas. tomo I,9789585522763,,9 - 16,Usc Universidad Santiago De Cali Editorial,"JORGE MARIO SANCHEZ NOGUERA, EDWARD JAVIER ORDONEZ"
00000000016547,True,Capítulo de libro,Diversidad organizacional u organizaciones en contextos de diversidad socio-cultural,Chile,2018,"Nuevas formas de organización y trabajo: Latinoamérica frente a los actuales desafíos económicos, sociales y medioambientales",978-956-398-413-2,,1437 - 1448,RED PILARES,"LINA JULIANA ROBAYO CORAL, WILSON NOE GARCES AGUILAR"
00000000016547,True,Capítulo de libro,Una fractura al machismo latinoamericano: a propósito de Gioconda Belli (impreso),Colombia,2018,Visiones diversas sobre el conocimiento Tomo I,978-958-5522-56-5,,1 - 18,Usc Universidad Santiago De Cali Editorial,"ALEXANDER LUNA NIETO, EDWARD JAVIER ORDONEZ"
00000000016547,True,Capítulo de libro,Fundamentos filosóficos para un observatorio en paz y posconflicto (digital),Colombia,2018,Comunidades Epistemológicas Tomo II. Investigando la realidad desde diversas disciplinas (Digital),978-958-5522-74-9,,1 - 18,Usc Universidad Santiago De Cali Editorial,"EDWARD JAVIER ORDONEZ, ALEXANDER LUNA NIETO"
00000000016547,True,Capítulo de libro,Una Fractura al Machismo Latinoamericano (digital),Colombia,2018,Visiones diversas sobre el conocimiento Tomo I,978-958-5522-53-4,,1 - 16,Usc Universidad Santiago De Cali Editorial,"EDWARD JAVIER ORDONEZ, ALEXANDER LUNA NIETO"
00000000009075,True,Capítulo de libro,"De Freud A Rancière: psicoanálisis, estética e inconsciente",España,2020,Manifestaciones culturales de vanguardia,978-84-1853459-1,,1 - 15,Tirant Lo Blanch,"RICARDO ADRIAN GONZALEZ MUNOZ, MARIA DEL MAR OSORIO ARIAS"
00000000016547,True,Capítulo de libro,De la ciudadanía y la feminidad: homenaje póstumo a Fátima Mernissi,Colombia,2018,Nuevas miradas y enfoques de diversas investigaciones tomo I,978-958-8920-82-5,,59 - 76,Usc Universidad Santiago De Cali Editorial,"EDWARD JAVIER ORDONEZ, ADRIANA MARIA BUITRAGO ESCOBAR"
00000000004638,True,Capítulo de libro,Técnicas instrumentales de caracterización de polímeros,Colombia,2019,Polímeros. Generalidades y tendencias de investigación en Colombia,9789587323504,,31 - 74,Universidad del Cauca,"DIANA MARIA CHITO TRUJILLO, TANIA MILENA GUTIERREZ VALENCIA, GERMAN CUERVO OCHOA"
00000000016547,True,Capítulo de libro,La segmentación del mercado de trabajo colombiano-e,Colombia,2018,Nuevas miradas y enfoques de diversas investigaciones tomo II-e,978-958-8920-85-6,,73 - 94,Usc Universidad Santiago De Cali Editorial,"EDWARD JAVIER ORDONEZ, ADRIANA MARIA BUITRAGO ESCOBAR"
00000000016547,True,Capítulo de libro,La segmentación del mercado de trabajo colombiano,Colombia,2018,Nuevas miradas y enfoques de diversas investigaciones tomo II,9789588920849,,73 - 95,Usc Universidad Santiago De Cali Editorial,"EDWARD JAVIER ORDONEZ, ADRIANA MARIA BUITRAGO ESCOBAR"
00000000016547,True,Capítulo de libro,De la ciudadanía y la feminidad: homenaje póstumo a Fátima Mernissi-e,Colombia,2018,Nuevas miradas y enfoques de diversas investigaciones tomo I,978-958-8920-83-2,,59 - 76,Usc Universidad Santiago De Cali Editorial,"EDWARD JAVIER ORDONEZ, ADRIANA MARIA BUITRAGO ESCOBAR"
00000000016547,True,Capítulo de libro,Fundamentos filosóficos para un observatorio de paz y posconflicto (impreso),Colombia,2018,Comunidades Epistemológicas Tomo II. Investigando la actualdiad,978-958-5522-73-2,,1 - 18,Usc Universidad Santiago De Cali Editorial,"EDWARD JAVIER ORDONEZ, ALEXANDER LUNA NIETO"
00000000000592,True,Capítulo de libro,CARACTERIZACIÓN AGROECOLÓGICA DE SISTEMAS INTEGRADOS DE PRODUCCIÓN AGROPECUARIOS SIPAS,Brasil,2020,Agrárias [livro eletrônico] : pesquisa e inovação nas ciências que alimentam o mundo V,978-65-87396-25-5,,228 - 237,Editora Artemis,GUSTAVO ADOLFO ALEGRIA FERNANDEZ
00000000000592,True,Capítulo de libro,ESCUELAS AGROAMBIENTALES DEL COMITÉ DE INTEGRACIÓN DEL MACIZO COLOMBIANO-CIMA. UNA APUESTA EDUCATIVA POPULAR PARA LA PAZ DURADERA,México,2020,La construcción de la Paz,978-607-8784-07-3,,321 - 357,Editorial De La Universidad Nacional Autonoma De Mexico,"WILLIAM BERNARDO MACIAS OROZCO, GUSTAVO ADOLFO ALEGRIA FERNANDEZ"
00000000000592,True,Capítulo de libro,Formación agroecológica en la experiencia de las ¿escuelas agroambientales¿ del Comité de Integración del Macizo Colombiano (Cima),Colombia,2019,Agroecología Experiencias comunitarias para la agricultura familiar en Colombia ,978-958-784-233-3,,201 - 221,Editorial Universidad del Rosario,"WILLIAM BERNARDO MACIAS OROZCO, GUSTAVO ADOLFO ALEGRIA FERNANDEZ"
00000000000592,True,Capítulo de libro,La práctica de la soberanía alimentaria en el territorio caucano: Un entramado de experiencias,Colombia,2018,GESTIÓN TERRITORIAL Y SOBERANÍA ALIMENTARIA: EXPERIENCIAS LATINOAMERICANAS,978-607-12-0534-6,,129 - 138,UNIVERSIDAD AUTÓNOMA DE CHAPINGO,YADY ELIANA HERNANDEZ SILVA
00000000000592,True,Capítulo de libro,"Mercado solidario e intercultural: una estrategia para el fortalecimiento de la soberanía alimentaria en territorios cafeteros del Departamento del Cauca, Colombia",México,2018,GESTIÓN TERRITORIAL Y SOBERANÍA ALIMENTARIA: EXPERIENCIAS LATINOAMERICANAS,978-607-12-0534-6,,139 - 146,Universidad Autónoma Chapingo,MAYRA ROXANA SOLARTE MONTOYA
00000000000592,True,Capítulo de libro,PRODUÇÃO DE CAFÉ ORGÂNICO NA COLÔMBIA: CAPACIDADE DE INOVAÇÃO E DINAMISMO PRODUTIVO NA REGIÃO DE CAUCA,Brasil,2018,Estudos em agronegócio Construindo competitividade,978-85-400-2511-0,,177 - 212,Editora Kelps,MAYRA ROXANA SOLARTE MONTOYA
00000000016547,True,Capítulo de libro,Aproximaciones conceptuales al sufrimiento humano producido en el marco de la guerra en Colombia (Impreso),Colombia,2020,Reflexiones sobre la violencia desde América Latina,978-958-5147-65-2,,203 - 222,Usc Universidad Santiago De Cali Editorial,ALEXANDER LUNA NIETO
00000000011867,True,Capítulo de libro,"Candidatos en Facebook. Publicaciones, acciones y reacciones de cara a la gobernación del Cauca",Colombia,2020,"medios de comunicación, redes sociales y democracia local",978-958-52252-6-8,,141 - 168,Misión de Observación Electoral,PIEDAD RUIZ ECHEVERRY
00000000012288,True,Capítulo de libro,Hermenéutica y Motricidad: La carne interior que somos,Colombia,2013,Motricidad Escenarios De Debate.,978-958-8695-40-2,,99 - 122,Editorial Kinesis,LUIS GUILLERMO JARAMILLO ECHEVERRI
00000000016547,True,Capítulo de libro,EL ESTUDIO DE LA ORGANIZACIÓN SOLIDARIA EN COLOMBIA Y SU CONTEXTO DE DIVERSIDAD,Colombia,2020,Redes de solidaridad y organizaciones en contextos de diversidad,9786587396200,,18 - 43,Editora Artemis,"WILSON NOE GARCES AGUILAR, LINA JULIANA ROBAYO CORAL"
00000000010553,True,Capítulo de libro,LA GESTIÓN DEL CONOCIMIENTO Y LA DOCENCIA EN INSTITUCIONES DE EDUCACIÓN SUPERIOR EN COLOMBIA,Colombia,2021,Virtualización del Aprendizaje: Competencias digitales e Innovación,978-958-53396-2-0,,216 - 239,CORPORACION CENTRO INTERNACIONAL DE MARKETING TERRITORIAL PARA LA EDUCACION Y EL DESARROLLO CIMTED,"PAOLA ANDREA UMANA AEDO, DIEGO FERNANDO CHAVEZ NARVAEZ"
00000000009075,True,Capítulo de libro,Los valores sociales: la asignatura pendiente en la educación superior,Colombia,2020,"Por los caminos del pensamiento latinoamericano: liberación, interculturalidad y pensamiento crítico",-978-958-5147-63-8,,249 - 273,Usc Universidad Santiago De Cali Editorial,"DIANA ISABEL GIRON MADRONERO, MARIA ALEJANDRA CEBALLOS CASAS"
00000000009075,True,Capítulo de libro,La violencia de la exclusión. El lugar social de los afrocolombianos en la educación superior,Colombia,2020,Reflexiones sobre la violencia desde América Latina,978-958-5147-64-5,,113 - 132,Usc Universidad Santiago De Cali Editorial,"JESSICA VANESSA SANDOVAL ACEVEDO, CLAUDIA LORENA BURBANO GARCIA"
00000000009075,True,Capítulo de libro,Representaciones sociales de la solidaridad en el desarrollo de acciones colectivas para construcción de la paz,Colombia,2020,Construcción de Paz y Convivencia: Investigaciones y reflexiones desde la psicología,978-958-5147-67-6,,135 - 158,Usc Universidad Santiago De Cali Editorial,"CLAUDIA LORENA BURBANO GARCIA, DORA MARCELA GUTIERREZ LOSADA, DIANA ISABEL GIRON MADRONERO"
00000000009075,True,Capítulo de libro,The Dynamic Functionality of Borders: A Study from a Cultural Perspective,Estados Unidos,2021,The Dynamic Functionality of Borders: A Study from a Cultural ,978-3-030-62267-1,,37 - 52,"Springer Publishing Company, Inc.","JUAN DAVID MILLAN MENDOZA, JULIO CESAR OSSA OSSA"
00000000002175,True,Capítulo de libro,"Percepciones, representaciones religiosas y conocimiento local sobre el clima y sus cambios en el Pacífico caucano, Colombia",Colombia,2011,Perspectivas Culturales Del Clima,978-958-719-735-8,,395 - 425,Ilsa Y Universidad Nacional De Colombia,JAIRO TOCANCIPA FALLA
00000000002178,True,Capítulo de libro,Medicina Tradicional en las Comunidades indígenas,Colombia,1990,ALUNA. Imagen y memoria de las jornadas regionales de cultura popular,958-612-057-0,,248 - 253,Instituto Colombiano de Cultura - Colcultura -,HUGO PORTELA GUARIN
00000000002178,True,Capítulo de libro,YU'CE'. La medicina Páez,Colombia,1991,"Otra America en Construcción. Medicinas tradicionales, Religiones Populares",958-612-072-4,,193 - 204,Instituto Colombiano de Antropología - COLCULTURA-,HUGO PORTELA GUARIN
00000000002178,True,Capítulo de libro,"Territorio, cultura y the walas",Colombia,1993,Cultura y salud en la construcción de las Americas,958-612-129-1,,277 - 292,Insituto Colombiano de Antropología - COLCULTURA-,"HERINALDY GOMEZ VALENCIA, HUGO PORTELA GUARIN"
00000000002178,True,Capítulo de libro,La cultura medica en la cosmovisión Páez ( La cosmovisión Páez o armonía de la salud),Colombia,1994,Cultura y salud en la construcción de las Americas -Políticas y experiencias-,958-612-129-1,,85 - 96,Instituto Colombiano de Antropología -COLCULTURA-,HUGO PORTELA GUARIN
00000000002178,True,Capítulo de libro,Páez Cosmology,Colombia,1999,Páez Cosmology,81-86921-05-2,,157 - 182,Decent Books,HUGO PORTELA GUARIN
00000000002178,True,Capítulo de libro,El parterismo: una concepción Páez sobre el cuerpo humano femenino,Colombia,1999,"Cuerpo, Diferencias Y Desigualdades",958-96259-7-5,,201 - 212,Universidad Nacional De Colombia Centro De Estudios Sociales,HUGO PORTELA GUARIN
00000000008372,True,Capítulo de libro,"Indígenas, guerras civiles y participación política. El caso Paez en la provincia de Popayán, 1830-1860",Colombia,2019,Cultura Política y subalternidad en América Latina,9789586603584,,125 - 148,Publicaciones E Imprenta De La Uptc,LUIS ERVIN PRADO ARELLANO
00000000008372,True,Capítulo de libro,La Paz Conservadora 1841-1849,Colombia,2018,"Paz en la República. Colombia, siglo XIX",-9789587900392,,39 - 70,Editorial Universidad Externado de Colombia,LUIS ERVIN PRADO ARELLANO
00000000008372,True,Capítulo de libro,El Letrado Parroquial,Colombia,2017,El Siglo diecinueve colombiano,9789584801203,,99 - 124,Ediciones Plural,LUIS ERVIN PRADO ARELLANO
00000000002178,True,Capítulo de libro,POR UN VIAJE AL SUR DEL CAUCA TRAS LOS ITINERARIOS TERAPÉUTICOS QUE DAN CUENTA DE LAS CONTINUIDADES Y DISCONTINUIDADES CULTURALES,Colombia,2009,"Vidas, Narraciones Y Culturas En El Sur Del Cauca. Una Exploración De Las Identidades Culturales En Mercadres, Patía, Rosas, La Sierra",978-958-732-030-5,,272 - 325,Editorial Universidad Del Cauca,HUGO PORTELA GUARIN
00000000002178,True,Capítulo de libro,"Las Vicisitudes de un Científico, Caldas y su interés por la Botánica",Colombia,2010,Francisco José De Caldas. La Persistencia Del Saber,978-958-44-7337-0,,141 - 166,Astrolabio Editores,HUGO PORTELA GUARIN
00000000002178,True,Capítulo de libro,Epistemes-Otras: un desafío para la salud pública en Colombia,Brasil,2015,Saúde Indígena Políticas Comparadas Na América Latina,978-85-328-0735-9,,145 - 168,editora ufsc,HUGO PORTELA GUARIN
00000000012484,True,Capítulo de libro,El papel de la innovación y la tecnología en la efectividad operativa del sector turístico en Popayán,Colombia,2020,Regiones inteligentes. El factor humano.,978-958-56950-8-5,,167 - 203,Editorial Icesi y Sección Investigación EMAVI,JUAN MANUEL BUCHELI CALVACHE
00000000012484,True,Capítulo de libro,Una aproximación conceptual para comprender los distintos tipos de emprendimiento,Colombia,2020,La cultura de emprendimiento en Popayán,978-958-722-447-4,,50 - 73,UNISERDIDAD TECNOLÓGICA DE PEREIRA,LAURA BEATRIZ POTES ORDONEZ
00000000004277,True,Capítulo de libro,EFFECT OF GIBERELIC ACID ON THE GERMINATION OF Vaccinium meridionale Sw. SEEDS,Brasil,2021,Tópicos integrados em botânica,978-65-5706-693-5,,11 - 21,Atena Editora,"XIMENA ANDREA RUIZ ERAZO, CARLOS AUGUSTO MARTINEZ MAMIAN, SANDRA LORENA LOPEZ QUINTERO"
00000000012484,True,Capítulo de libro,El emprendimiento universitario desde la revisión literaria,Colombia,2020,LA CULTURA DEL EMPRENDIMIENTO EN POPAYÁN,978-958-722-447-4,,74 - 89,"Editorial de la Universidad Tecnológica de Pereira , en Colombia y en versión digital.",FELIPE ACOSTA ORTEGA
00000000012484,True,Capítulo de libro,"La Inteligencia Emocional, factor fundamental en la generación de Equipos Interdisciplinarios y Redes Interorganizacionales y su impacto en la efectividad operacional",Colombia,2020,Regiones inteligentes. El factor humano.,978-958-56950-8-5,,75 - 106,Editorial Icesi y Sección Investigación EMAVI,JUAN MANUEL BUCHELI CALVACHE
00000000012484,True,Capítulo de libro,Modelo Ecosistema Popayán Emprende,Colombia,2020,La Cultura del Emprendimiento en Popayán:Experiencias y Aprendizajes,978-958-722-447-4,,277 - 300,Editorial Universidad Tecnológica de Pereira,GABRIEL DE LA TORRE SOLARTE
00000000012484,True,Capítulo de libro,Ideas preponderantes sobre la Responsabilidad Social Empresarial RSE,Portugal,2019,Investigação Qualitativa em Ciências Sociais/Investigación Cualitativa en Ciencias Sociales,978-989-54476-5-7,,528 - 537,Congresso Ibero-Americano em Investigação Qualitativa,"LAURA BEATRIZ POTES ORDONEZ, OSCAR EDUARDO TORRES FERNANDEZ, LUIS EDUARDO RUANO IBARRA"
00000000016547,True,Capítulo de libro,"Resistencia contra-hegemónica de la comunidad campesina Cruz de Mayo, Ancash - Perú, ante las estrategias de dominación moderno/coloniales",Colombia,2016,Manejo del Riesgo en la Gestión del Aguaanejo del Riesgo en la Gestión del Agua,9789587652871,,345 - 390,Centro Editorial Universidad Del Valle,"LINA JULIANA ROBAYO CORAL, WILSON NOE GARCES AGUILAR"
00000000002135,True,Capítulo de libro,Scorpionism and dangerous species of Colombia,Estados Unidos,2015,"Toxinology, Scorpions Venoms",978-94-007-6403-3,,245 - 272,Springer Ny,"JIMMY ALEXANDER GUERRERO VARGAS, JOSE BELTRAN, SANTIAGO AYERBE GONZALEZ, JAVIER RODRIGUEZ, EDUARDO FLOREZ"
00000000016547,True,Capítulo de libro,La justicia social como desafío de la universidad en el mundo globalizado,Colombia,2015,Fortalecimiento educativo,-978958-58674-5-1-,,113 - 126,Red Iberoamericana de Pedagogía: REDIPE,WILLIAN FREDY PALTA VELASCO
00000000003369,True,Capítulo de libro,INVESTIGACION PARTICIPANTE: ACCIONES ETNOEDUCATIVAS DE RETROALIMENTACION ENTRE DISTINTOS SABERES,Brasil,2014,A Etnobiologia Na Educação Ibero-Americana Compreensão Holística E Pluricultural Da Biologia .,9788573952223,,257 - 286,UFS Editora,OLGA LUCIA SANABRIA DIAGO
00000000008489,True,Capítulo de libro,La marginalidad urbana como reto en el ordenamiento territorial Popayán,Perú,2019,GESTIÓN DEL DESARROLLO Y ORDENAMIENTO TERRITORIAL. Dilemas de resiliencia para la producción social del espacio.,978-612-4337-69-7,,157 - 170,Editorial UNSA,SORY ALEXANDER MORALES FERNANDEZ
00000000008489,True,Capítulo de libro,El Ruido Urbano en Carabanchel,España,2020,Plan Director de Adaptación General del Distrito de Carabanchel- Madrid,978-84-9728-589-6,,76 - 79,Instituto Juan de Herrera,GERMAN CAMILO CHAMORRO GOMEZ
00000000008152,True,Capítulo de libro,The Use of Planar Electromagnetic Fields in Effective Vaccine Design,Croacia,2017,Vaccines,978-953-51-3476-3,,113 - 122,IntechOpen,RICARDO BENITEZ BENITEZ
00000000008489,True,Capítulo de libro,"Expansión urbana y ordenación territorial: la urbanización fuera de plan en Popayán, Colombia",Ecuador,2021,Ciudades intermedias y nueva ruralidad,978-9978-67-549-6,,209 - 232,Editorial FLACSO Ecuador,"MARIA ISABEL MAZORRA ARGOTE, ANDRES ALEJANDRO CORDOBA CALVO, FRANCISCO LEON ZUNIGA BOLIVAR"
00000000002192,True,Capítulo de libro,"Transformaciones del territorio y el patrimonio biocultural, a partir del proceso de industrialización. Recuperación de la finca tradicional en el municipio de Corinto, vereda La Paila",Argentina,2013,"Patrimonio Biocultural, Territorio Y Sociedades Afroindoamericanas En Movimiento",978-987-1891-41-2,,101 - 124,CLACSO,KELLY GIOVANNA MUNOZ BALCAZAR
00000000002192,True,Capítulo de libro,Lugares de vida y registros de la memoria biocultural en el Pacífi co sur-colombiano,Argentina,2013,"Patrimonio Biocultural, Territorio Y Sociedades Afroindoamericanas En Movimiento",978-987-1891-41-2,,32 - 51,CLACSO,BERNARDO JAVIER TOBAR QUITIAQUEZ
00000000004806,True,Capítulo de libro,La influencia de las TIC en la educación superior un apoyo en el proceso de enseñanza aprendizaje,Colombia,2015,Las Instituciones Educativas: Eslabones Vitales.,978-958-59087-3-4,,262 - 288,REDIPE,CLARA LUCIA BURBANO GONZALEZ
00000000004806,True,Capítulo de libro,"Tecnologias del Aprendizaje y conocimiento (TAC), por medio de la Modalidad B-Learning, para el desarrollo, de un OVA; como aporte a la Sociedad del Conocimeinto",Colombia,2015,Las Instituciones Educativas: Eslabones Vitales.,978-958-59087-3-4,,337 - 353,REDIPE,"CLARA LUCIA BURBANO GONZALEZ, DIANA CAROLINA BURBANO GONZALEZ, KATERINE MARCELES VILLALBA"
00000000004806,True,Capítulo de libro,", TECNOLOGIAS DEL APRENDIZAJE Y CONOCIMIENTO (TAC), POR MEDIO DE LA MODALIDAD B-LEARNING, PARA EL DESARROLLO DE UN OVA; COMO APORTE A LA SOCIEDAD DEL CONOCIMIENTO",Colombia,2015,Las Instituciones Educativas: Eslabones Vitales.,9789585908734,,337 - 353,REDIPE,"KATERINE MARCELES VILLALBA, CLARA LUCIA BURBANO GONZALEZ, DIANA CAROLINA BURBANO GONZALEZ"
00000000004806,True,Capítulo de libro,Plataforma colaborativa y ubica u-CSCL,Colombia,2016,ENTORNOS UBICUOS Y COLABORATIVOS (U-CSCL) PARA AMBIENTES DE ENSEÑANZA-APRENDIZAJE DE COMPETENCIAS PROFESIONALES,978-958-8785-83-7,,51 - 66,Editorial Bonaventuriana,"SILVANA VANESA ACIAR, MAYELA COTO CHOTTO, ALEX ARMANDO TORRES BERMUDEZ, CESAR ALBERTO COLLAZOS ORDONEZ"
00000000004806,True,Capítulo de libro,Aporte Significativo de la plataforma u-CSCL al Aprendizaje: Una Experiencia en la Corporación Universitaria Comfacauca,Colombia,2016,ENTORNOS UBICUOS Y COLABORATIVOS (U-CSCL) PARA AMBIENTES DE ENSEÑANZA-APRENDIZAJE DE COMPETENCIAS PROFESIONALES,978-958-8785-83-7,,161 - 173,Editorial Bonaventuriana,ALEX ARMANDO TORRES BERMUDEZ
00000000004806,True,Capítulo de libro,Alfabetización Digital ¿AD¿,Argentina,2017,Educación Científica e Inclusión Sociodigital,978-84-16978-19-9,,928 - 945,UNESCO,"KATERINE MARCELES VILLALBA, CLARA LUCIA BURBANO GONZALEZ, DIANA CAROLINA BURBANO GONZALEZ, LORETO LOPEZ PINO"
00000000007141,True,Capítulo de libro,Del derecho local al derecho global. Control de convencionalidad y Bloque de constitucionalidad,México,2019,Filosofía del derecho y Cultura jurídica,9786079645793,,125 - 138,ASOCIACIÓN IBEROAMERICANA DE FILOSOFÍA PRÁCTICA,ARISTIDES OBANDO CABEZAS
00000000007141,True,Capítulo de libro,"Biolaw, diversidad y justicia social: el surgimiento de derechos diferenciados",Estados Unidos,2018,Biolaw and Policy in the Twenty - First Century,9783030059026,,203 - 211,"Springer Publishing Company, Inc.",ARISTIDES OBANDO CABEZAS
00000000007141,True,Capítulo de libro,"Conflictos interetnicos ambientales y gobernanza del territorio en el Norte del Departamento del Cauca, Colombia",México,2018,Hacia el ámbito del derecho ambiental,978-607-9785-543,,53 - 60,El Colegio de Morelos,"RAUL HERNANDO CORTES LANDAZURY, ARISTIDES OBANDO CABEZAS"
00000000002192,True,Capítulo de libro,", patrimonio inmaterial y mercantilización de la cultura. Lectura crítica de los Carnavales de Negros y Blancos, San Juan de Pasto Colombia",Colombia,2011,"Territorios Del Saber, Arte Y Patrimonio Cultural. Inequidades Y Exclusiones",9789584489258,,140 - 160,Aracne Editrice,BERNARDO JAVIER TOBAR QUITIAQUEZ
00000000002192,True,Capítulo de libro,"Arte, Cultura Inmaterial y Mercantilización de la Cultura. Lectura Críticas sobre el Carnaval de Negro y Blancos San Juan de Pasto",Colombia,2011,"Territorios Del Saber, Arte Y Patrimonio Cultural. Inequidades Y Exclusiones",9789584489258,,1 - 219,Aracne Editrice,BERNARDO JAVIER TOBAR QUITIAQUEZ
00000000004806,True,Capítulo de libro,Refining the Process phase in the computer supported collaborative learning,México,2020,Research and development in Learning Environments,978-607-525-665-8,,59 - 73,Benemerita Universidad Autonoma De Puebla,VANESSA AGREDO DELGADO
00000000004806,True,Capítulo de libro,A Usability Evaluation Guide in Virtual Learning Environments,México,2020,Research and development in Learning Environments,978-607-525-665-8,,143 - 156,Benemerita Universidad Autonoma De Puebla,VANESSA AGREDO DELGADO
00000000004806,True,Capítulo de libro,Validating the Shared Understanding Construction in Computer Supported Collaborative Work in a Problem-Solving Activity,Colombia,2020,Trends and Innovations in Information Systems and Technologies,978-3-030-45696-2,,203 - 214,"Springer Publishing Company, Inc.",VANESSA AGREDO DELGADO
00000000002184,True,Capítulo de libro,LA FORMACIÓN DE MAESTROS: UN PROCESO QUE SE RECREA PERMANENTEMENTE,Colombia,2013,"PALIMPSESTOS. TRAYECTORIAS, SENTIDOS Y PROSPECTIVAS",978-958-732-123-4,,121 - 129,Editorial Universidad Del Cauca,"ROBERT ALFREDO EUSCATEGUI PACHON, STELLA PINO SALAMANCA"
00000000002184,True,Otro capítulo de libro publicado,EL CUERPO DE MUJER COMO CONSTRUCCION SOCIAL,Colombia,2018,EXPRESIONES MOTRICES,978-958-5504-16-5,,40 - 52,Institución Universitaria CESMAG,GERARDO JIMENEZ LOPEZ
00000000002184,True,Capítulo de libro,REFLEXIONES Y ACCIONES DE LA EDUCACIÓN POPULAR EN LOS PROCESOS DE FORMACIÓN UNIVERSITARIA,Colombia,2019,EDUCACIÓN POPULAR DESDE LOS TERRITORIOS. EXPERIENCIAS Y REFLEXIONES,978-958-5555-17-4,,73 - 86,EDICIONES DESDE ABAJO,STELLA PINO SALAMANCA
